,crawford,edmund,thomas,rushworth,norris,fanny,grant,william,julia,bertram
crawford,0.0,4.156194727020235,6.826462558219114,3.6688242636972874,9.91303124324257,1.3487955615398626,3.684445916280278,4.6756933536919325,2.031517328264614,3.343461125410574
edmund,4.156194727020235,0.0,10.058005093448719,3.9260271390313575,8.105825239621861,1.5037247991132723,2.5456538981489074,9.7374265483357,2.314507339968581,2.3057624180316907
thomas,6.826462558219114,10.058005093448719,0.0,29.302187726731443,12.722929934830054,8.542917488245562,16.673665083781344,8.163390001078422,28.1280373848932,20.705730871298474
rushworth,3.6688242636972874,3.9260271390313575,29.302187726731443,0.0,31.64449222423238,44.77444727997302,18.87113422723489,84.70184049444674,5.081858113243281,14.662461008070123
norris,9.91303124324257,8.105825239621861,12.722929934830054,31.64449222423238,0.0,57.14169245572755,18.228481986066704,64.87226210952761,30.716805881831068,9.88831748689261
fanny,1.3487955615398626,1.5037247991132723,8.542917488245562,44.77444727997302,57.14169245572755,0.0,92.65840039308145,37.87610400316065,60.088309607243325,79.57746701217071
grant,3.684445916280278,2.5456538981489074,16.673665083781344,18.87113422723489,18.228481986066704,92.65840039308145,0.0,126.60920154519908,47.504779041719104,22.677387624977193
william,4.6756933536919325,9.7374265483357,8.163390001078422,84.70184049444674,64.87226210952761,37.87610400316065,126.60920154519908,0.0,126.83106534956667,140.91778416142125
julia,2.031517328264614,2.314507339968581,28.1280373848932,5.081858113243281,30.716805881831068,60.088309607243325,47.504779041719104,126.83106534956667,0.0,41.45458353972554
bertram,3.343461125410574,2.3057624180316907,20.705730871298474,14.662461008070123,9.88831748689261,79.57746701217071,22.677387624977193,140.91778416142125,41.45458353972554,0.0
