,catherine,tilney,isabella,allen,thorpe,morland,henry,eleanor,james,john
catherine,0.0,1.4104808409359337,1.7647332189251186,2.8697778604112427,2.304569465497767,2.353063958657673,2.762374910465594,4.281468470490943,1.73158536740954,11.246098664329333
tilney,1.4104808409359337,0.0,36.86299264460793,57.017710185198624,26.12864226786547,56.52720036433004,170.30056448470728,194.62489084601347,18.153343752400602,55.18979196342025
isabella,1.7647332189251186,36.86299264460793,0.0,131.72409083082707,83.76628398598054,78.53205766126005,307.9095297255953,404.7320043605034,4.26303925911724,14.025975661100963
allen,2.8697778604112427,57.017710185198624,131.72409083082707,0.0,33.71592047045373,173.24283457792362,528.2155535752565,656.1506612088498,83.75521580908574,134.3316115301178
thorpe,2.304569465497767,26.12864226786547,83.76628398598054,33.71592047045373,0.0,185.22509877943543,549.543849720508,699.228908955392,21.359721682214882,86.71122233037272
morland,2.353063958657673,56.52720036433004,78.53205766126005,173.24283457792362,185.22509877943543,0.0,234.87242380947657,250.10600722591653,40.825920623702295,88.62114590385114
henry,2.762374910465594,170.30056448470728,307.9095297255953,528.2155535752565,549.543849720508,234.87242380947657,0.0,37.447774323809554,466.0645946138575,789.8956185543644
eleanor,4.281468470490943,194.62489084601347,404.7320043605034,656.1506612088498,699.228908955392,250.10600722591653,37.447774323809554,0.0,921.5855344608059,2623.7754644701586
james,1.73158536740954,18.153343752400602,4.26303925911724,83.75521580908574,21.359721682214882,40.825920623702295,466.0645946138575,921.5855344608059,0.0,84.41162947362601
john,11.246098664329333,55.18979196342025,14.025975661100963,134.3316115301178,86.71122233037272,88.62114590385114,789.8956185543644,2623.7754644701586,84.41162947362601,0.0
