,anne,elliot,wentworth,mary,lady russell,walter,charles,louisa,elizabeth,henrietta
anne,0.0,5.453650562574862,5.375057019687082,0.8709846664483926,1.3372179540463958,11.555316490334429,1.9303015003734991,2.421074134842399,3.2397853198332585,5.952829648322831
elliot,5.453650562574862,0.0,79.30657387192406,100.39798766987818,60.775984069388436,116.07699743159279,82.6101665504672,77.5119875409845,44.0160647957387,111.65428354021252
wentworth,5.375057019687082,79.30657387192406,0.0,20.242104168929565,41.604264875433834,68.61980968636576,10.598813662473539,13.243410709532501,66.91823964792142,6.351593629923743
mary,0.8709846664483926,100.39798766987818,20.242104168929565,0.0,56.93646946736162,69.23909367457655,11.834375201213247,35.54422939813956,51.87121674068136,27.63267223456607
lady russell,1.3372179540463958,60.775984069388436,41.604264875433834,56.93646946736162,0.0,58.09178649776754,85.7498556877766,106.84467666729475,20.818447909113708,120.0208399587927
walter,11.555316490334429,116.07699743159279,68.61980968636576,69.23909367457655,58.09178649776754,0.0,90.89747057424252,145.24994963845677,10.44679751561996,162.72295080409012
charles,1.9303015003734991,82.6101665504672,10.598813662473539,11.834375201213247,85.7498556877766,90.89747057424252,0.0,52.90597518120035,92.60004296498185,27.811506234209645
louisa,2.421074134842399,77.5119875409845,13.243410709532501,35.54422939813956,106.84467666729475,145.24994963845677,52.90597518120035,0.0,151.35969552489553,22.282948041501264
elizabeth,3.2397853198332585,44.0160647957387,66.91823964792142,51.87121674068136,20.818447909113708,10.44679751561996,92.60004296498185,151.35969552489553,0.0,197.12896860963394
henrietta,5.952829648322831,111.65428354021252,6.351593629923743,27.63267223456607,120.0208399587927,162.72295080409012,27.811506234209645,22.282948041501264,197.12896860963394,0.0
