,anne,elliot,wentworth,mary,lady russell,walter,charles,louisa,elizabeth,henrietta
anne,0.0,2.7777327413388297,2.89981840080247,0.4585953978516767,0.6946877966621808,6.6568378290600085,0.9743519301323379,1.1781181901304703,1.7941031695977259,2.8911527371053065
elliot,2.7777327413388297,0.0,41.55818534084923,51.26711537126854,31.202978698236524,60.95689686257429,41.68697489292883,37.85988977261231,22.75893889201319,53.35711342473099
wentworth,2.89981840080247,41.55818534084923,0.0,10.565813605788142,21.69271098019087,37.24057655185235,5.284534524386508,6.390418086678894,34.34617780489985,3.0042818044343234
mary,0.4585953978516767,51.26711537126854,10.565813605788142,0.0,29.27467034681661,37.18896330737486,5.858961388309114,16.98559028416023,26.319623415228094,13.284688554069737
lady russell,0.6946877966621808,31.202978698236524,21.69271098019087,29.27467034681661,0.0,31.099775240778488,42.78921554641499,51.824981232789796,10.530357001272174,57.344224873510846
walter,6.6568378290600085,60.95689686257429,37.24057655185235,37.18896330737486,31.099775240778488,0.0,47.38903485543011,73.05589803120996,5.111675640514922,78.332508456302
charles,0.9743519301323379,41.68697489292883,5.284534524386508,5.858961388309114,42.78921554641499,47.38903485543011,0.0,25.588631177702585,46.94752897770439,13.339885759505933
louisa,1.1781181901304703,37.85988977261231,6.390418086678894,16.98559028416023,51.824981232789796,73.05589803120996,25.588631177702585,0.0,75.98414760283406,10.489526651220205
elizabeth,1.7941031695977259,22.75893889201319,34.34617780489985,26.319623415228094,10.530357001272174,5.111675640514922,46.94752897770439,75.98414760283406,0.0,94.64967427752278
henrietta,2.8911527371053065,53.35711342473099,3.0042818044343234,13.284688554069737,57.344224873510846,78.332508456302,13.339885759505933,10.489526651220205,94.64967427752278,0.0
