,elinor,marianne,edward,jennings,willoughby,dashwood,lucy,brandon,john,ferrars
elinor,0.0,2.824919646043672,2.1068810891865892,0.7413399128759637,2.0386654956794628,1.3610016229449606,2.172975909044778,1.0634488881531459,3.879605315324485,1.2675058836154303
marianne,2.824919646043672,0.0,7.8265238528801335,3.175989782604118,1.069477430285123,2.4944159084854047,15.42228959096514,3.920429451397439,7.282493581329389,10.119140732024407
edward,2.1068810891865892,7.8265238528801335,0.0,41.88783221814604,76.67704203569,46.26780910263957,12.217944767420274,26.243849645947986,32.384001693982526,4.3642464565654695
jennings,0.7413399128759637,3.175989782604118,41.88783221814604,0.0,71.42489042709762,60.282443319236634,39.27028389285933,25.068688816566493,56.34965045437016,32.59360497839517
willoughby,2.0386654956794628,1.069477430285123,76.67704203569,71.42489042709762,0.0,39.69341284798327,104.50218509844824,50.03358967290185,35.87982187217533,105.39961328464591
dashwood,1.3610016229449606,2.4944159084854047,46.26780910263957,60.282443319236634,39.69341284798327,0.0,78.62105847501397,19.319333830269404,24.206324506092628,42.50527048238339
lucy,2.172975909044778,15.42228959096514,12.217944767420274,39.27028389285933,104.50218509844824,78.62105847501397,0.0,72.25295513736953,158.46345289798765,10.939068988805047
brandon,1.0634488881531459,3.920429451397439,26.243849645947986,25.068688816566493,50.03358967290185,19.319333830269404,72.25295513736953,0.0,142.10364575112783,55.891715477562194
john,3.879605315324485,7.282493581329389,32.384001693982526,56.34965045437016,35.87982187217533,24.206324506092628,158.46345289798765,142.10364575112783,0.0,369.38792865936705
ferrars,1.2675058836154303,10.119140732024407,4.3642464565654695,32.59360497839517,105.39961328464591,42.50527048238339,10.939068988805047,55.891715477562194,369.38792865936705,0.0
