,archy,ferguson,stillman,ham sandwich,flint buckner,buckner,sherlock holmes,holmes,fetlock jones,hillyer
archy,0.0,124.75485695559047,91.10430140930679,84.972360781712,114.14492563419076,276.76999549479996,184.28938294483746,95.13417079362102,147.903075762591,186.48793662522098
ferguson,124.75485695559047,0.0,176.5892849850077,45.7625530509335,108.68014408400602,99.75848116649733,224.1277018872747,203.22137513273427,225.34711946883837,349.67186075985904
stillman,91.10430140930679,176.5892849850077,0.0,133.86929241106245,180.08807721051375,322.97731423869345,209.99287587936746,137.43807951142742,128.65069313761106,181.8894713358626
ham sandwich,84.972360781712,45.7625530509335,133.86929241106245,0.0,102.86975754927896,181.14789951100562,127.30151090621827,119.7536419945483,121.42074912850268,227.72593949969195
flint buckner,114.14492563419076,108.68014408400602,180.08807721051375,102.86975754927896,0.0,186.37712943221896,135.19284146821067,188.1882992180627,163.81743722369174,218.29248443913332
buckner,276.76999549479996,99.75848116649733,322.97731423869345,181.14789951100562,186.37712943221896,0.0,523.0464221269004,513.1771526057414,411.7387988142672,449.9608427396956
sherlock holmes,184.28938294483746,224.1277018872747,209.99287587936746,127.30151090621827,135.19284146821067,523.0464221269004,0.0,79.82411815292471,114.2993504590818,133.03643900175265
holmes,95.13417079362102,203.22137513273427,137.43807951142742,119.7536419945483,188.1882992180627,513.1771526057414,79.82411815292471,0.0,119.7826086310843,127.0162499804626
fetlock jones,147.903075762591,225.34711946883837,128.65069313761106,121.42074912850268,163.81743722369174,411.7387988142672,114.2993504590818,119.7826086310843,0.0,118.62182030150406
hillyer,186.48793662522098,349.67186075985904,181.8894713358626,227.72593949969195,218.29248443913332,449.9608427396956,133.03643900175265,127.0162499804626,118.62182030150406,0.0
