,harris,mont blanc,neckar,conrad,baedeker,peter,riley,nicodemus,huss,gretchen
harris,0.0,190.33268911288363,54.73155805361603,198.62647984033563,32.10164002999283,64.64234272815523,183.52790634354267,72.55291409837766,215.68286482146829,246.76616165615678
mont blanc,190.33268911288363,0.0,3016.7591709670905,2384.044585416619,452.10743039718426,692.8932871252158,1838.95050729531,2422.1829951195723,2614.2687463485117,1916.6205858319822
neckar,54.73155805361603,3016.7591709670905,0.0,526.586312629859,2603.433723877902,2242.9123778192466,1433.1662616533447,1008.517558894284,810.4132671515206,1791.39885859872
conrad,198.62647984033563,2384.044585416619,526.586312629859,0.0,1896.239426753721,1520.674732372955,888.6992237813135,526.5757262821247,335.3680494779649,1072.551960089485
baedeker,32.10164002999283,452.10743039718426,2603.433723877902,1896.239426753721,0.0,413.70971154002945,1162.6793621222994,1490.9482844851202,1572.1766056297936,1185.2099899705718
peter,64.64234272815523,692.8932871252158,2242.9123778192466,1520.674732372955,413.70971154002945,0.0,977.1755058983626,855.8465576082707,1161.1342162465319,875.0193799324691
riley,183.52790634354267,1838.95050729531,1433.1662616533447,888.6992237813135,1162.6793621222994,977.1755058983626,0.0,434.1391313607748,625.3558518602492,1220.6453574820455
nicodemus,72.55291409837766,2422.1829951195723,1008.517558894284,526.5757262821247,1490.9482844851202,855.8465576082707,434.1391313607748,0.0,191.18302775199663,803.1262053881813
huss,215.68286482146829,2614.2687463485117,810.4132671515206,335.3680494779649,1572.1766056297936,1161.1342162465319,625.3558518602492,191.18302775199663,0.0,404.74815411105254
gretchen,246.76616165615678,1916.6205858319822,1791.39885859872,1072.551960089485,1185.2099899705718,875.0193799324691,1220.6453574820455,803.1262053881813,404.74815411105254,0.0
