,bixby,brown,stephen,napoleon,mabry,yates,backus,o'connor,bob,tom
bixby,0.0,625.8668011755534,515.2859965048,1491.322529960755,2978.8523450312982,755.889127830925,3220.6528462086935,3364.9175326242503,672.5737841684752,487.1953204409318
brown,625.8668011755534,0.0,186.8415985646848,1370.891125548701,1932.7353991916539,126.68839220040661,2489.5970067178273,2117.7099182004586,3162.758816505997,828.741876684737
stephen,515.2859965048,186.8415985646848,0.0,1650.0629169221934,3308.4871761545805,14.153274888422226,3471.7305226408193,3972.4095741620363,2676.3022348984427,893.5044329194685
napoleon,1491.322529960755,1370.891125548701,1650.0629169221934,0.0,939.2624646738153,2058.259297939963,575.9388665360044,1049.605388637482,3206.5157483644944,2421.5275286116234
mabry,2978.8523450312982,1932.7353991916539,3308.4871761545805,939.2624646738153,0.0,3271.3500334009073,500.42011804442564,0.7303890351100585,7607.7402340472045,4719.762734271676
yates,755.889127830925,126.68839220040661,14.153274888422226,2058.259297939963,3271.3500334009073,0.0,3462.2824699930643,3962.9616519761826,3317.1055849357117,1504.6300791678693
backus,3220.6528462086935,2489.5970067178273,3471.7305226408193,575.9388665360044,500.42011804442564,3462.2824699930643,0.0,500.36737424238174,7065.467138100084,4296.5191576139905
o'connor,3364.9175326242503,2117.7099182004586,3972.4095741620363,1049.605388637482,0.7303890351100585,3962.9616519761826,500.36737424238174,0.0,7607.620905330618,4721.574374874386
bob,672.5737841684752,3162.758816505997,2676.3022348984427,3206.5157483644944,7607.7402340472045,3317.1055849357117,7065.467138100084,7607.620905330618,0.0,3201.939906482847
tom,487.1953204409318,828.741876684737,893.5044329194685,2421.5275286116234,4719.762734271676,1504.6300791678693,4296.5191576139905,4721.574374874386,3201.939906482847,0.0
