,bixby,brown,stephen,napoleon,mabry,yates,backus,o'connor,bob,tom
bixby,0.0,1366.8380797673005,1175.9244764054727,3589.1580959121407,7613.514960510042,1822.7363187612873,8392.697372990868,8792.291067270053,1468.8390869951293,1235.428888201142
brown,1366.8380797673005,0.0,435.37550347571477,3302.279668386816,5087.626701882796,311.4238896991824,6715.400103359644,5724.703941424729,7454.203721950635,2102.3685799728837
stephen,1175.9244764054727,435.37550347571477,0.0,3959.1864869454375,8451.971157482447,34.58624847645401,9009.390440946308,10351.957368697731,6237.898960484486,2262.9168213198436
napoleon,3589.1580959121407,3302.279668386816,3959.1864869454375,0.0,2457.9194055355265,5200.163955562154,1532.3216485118157,2802.5765538101673,7775.360058670208,6022.765284126308
mabry,7613.514960510042,5087.626701882796,8451.971157482447,2457.9194055355265,0.0,8361.485253550936,1341.867021779772,1.9651551396374276,19100.1392114919,12402.620003256121
yates,1822.7363187612873,311.4238896991824,34.58624847645401,5200.163955562154,8361.485253550936,0.0,8985.762000284314,10328.329336765843,7837.530808290174,3814.5325344963135
backus,8392.697372990868,6715.400103359644,9009.390440946308,1532.3216485118157,1341.867021779772,8985.762000284314,0.0,1341.7251273555191,17635.220070581006,11244.76855886418
o'connor,8792.291067270053,5724.703941424729,10351.957368697731,2802.5765538101673,1.9651551396374276,10328.329336765843,1341.7251273555191,0.0,19099.816206148793,12407.465277820724
bob,1468.8390869951293,7454.203721950635,6237.898960484486,7775.360058670208,19100.1392114919,7837.530808290174,17635.220070581006,19099.816206148793,0.0,7616.776170933126
tom,1235.428888201142,2102.3685799728837,2262.9168213198436,6022.765284126308,12402.620003256121,3814.5325344963135,11244.76855886418,12407.465277820724,7616.776170933126,0.0
