,slade,higbie,ballou,winters,carson,jack,williams,smith,cook,hank monk
slade,0.0,1920.9704450538354,1467.5165611443028,6407.851867825937,1492.28236478249,1730.7764267230355,4372.972143868825,3781.513507800638,8089.8743297059755,1150.987769415831
higbie,1920.9704450538354,0.0,620.064423569782,4017.277191764296,1142.7755383714602,1272.758607355355,1615.2134584664345,1844.2000717802607,4393.807757651873,2267.197413330842
ballou,1467.5165611443028,620.064423569782,0.0,4743.92385441897,361.9804754804554,1565.0007014908306,2459.7494640830046,2031.7416277754082,5421.881257336582,1079.2831529861562
winters,6407.851867825937,4017.277191764296,4743.92385441897,0.0,5385.1993574583175,5246.095116495982,2767.0435887564768,4019.216577313414,1584.5171777248027,8555.47307134047
carson,1492.28236478249,1142.7755383714602,361.9804754804554,5385.1993574583175,0.0,1376.658888434491,2692.7834644881636,1905.3512555987982,5465.461978687241,501.0078179142467
jack,1730.7764267230355,1272.758607355355,1565.0007014908306,5246.095116495982,1376.658888434491,0.0,2355.333215042463,1285.7110872536955,4426.903787606095,2458.061485811315
williams,4372.972143868825,1615.2134584664345,2459.7494640830046,2767.0435887564768,2692.7834644881636,2355.333215042463,0.0,1166.1919708248502,1746.2982220760966,4330.488753270496
smith,3781.513507800638,1844.2000717802607,2031.7416277754082,4019.216577313414,1905.3512555987982,1285.7110872536955,1166.1919708248502,0.0,2679.0163918941726,2683.0661513197642
cook,8089.8743297059755,4393.807757651873,5421.881257336582,1584.5171777248027,5465.461978687241,4426.903787606095,1746.2982220760966,2679.0163918941726,0.0,6937.310036684292
hank monk,1150.987769415831,2267.197413330842,1079.2831529861562,8555.47307134047,501.0078179142467,2458.061485811315,4330.488753270496,2683.0661513197642,6937.310036684292,0.0
