,slade,higbie,ballou,winters,carson,jack,williams,smith,cook,hank monk
slade,0.0,827.1407291747664,635.9591687218731,2543.913220359078,638.437558207247,726.6845073283741,1769.8498055182838,1512.7243965040166,3115.0882957787735,484.43929320710345
higbie,827.1407291747664,0.0,254.35021988214467,1537.1978535546316,464.89806926460477,523.6571219150638,624.7505269190218,708.537654511739,1626.1429037828366,897.8313054180073
ballou,635.9591687218731,254.35021988214467,0.0,1831.6184588429485,149.67611569838368,646.0183392796351,961.919646007203,784.2128517053907,2024.135392593099,434.2960298627622
winters,2543.913220359078,1537.1978535546316,1831.6184588429485,0.0,2076.020099117652,2022.8966357962638,1031.3773656942908,1493.3438186285537,566.0295208275866,3208.154168140004
carson,638.437558207247,464.89806926460477,149.67611569838368,2076.020099117652,0.0,571.7498283464408,1059.5390721509311,735.3170133595725,2045.4680165908396,202.50654292258807
jack,726.6845073283741,523.6571219150638,646.0183392796351,2022.8966357962638,571.7498283464408,0.0,940.794874747812,504.0024901498229,1653.4371095157917,1005.8382997879467
williams,1769.8498055182838,624.7505269190218,961.919646007203,1031.3773656942908,1059.5390721509311,940.794874747812,0.0,446.8507181606439,636.0425061679236,1676.2621226128304
smith,1512.7243965040166,708.537654511739,784.2128517053907,1493.3438186285537,735.3170133595725,504.0024901498229,446.8507181606439,0.0,990.9982167285413,1045.1597430866568
cook,3115.0882957787735,1626.1429037828366,2024.135392593099,566.0295208275866,2045.4680165908396,1653.4371095157917,636.0425061679236,990.9982167285413,0.0,2630.0336317301458
hank monk,484.43929320710345,897.8313054180073,434.2960298627622,3208.154168140004,202.50654292258807,1005.8382997879467,1676.2621226128304,1045.1597430866568,2630.0336317301458,0.0
