,slade,higbie,ballou,winters,carson,jack,williams,smith,cook,hank monk
slade,0.0,4422.31049148322,3355.397895081006,16026.013222621354,3457.967667953568,4090.799962013006,10718.641321812354,9379.914604526579,20851.434779341223,2708.065190479407
higbie,4422.31049148322,0.0,1496.6000300342457,10398.97601957648,2783.4686094934355,3069.3197917532693,4134.889050039499,4755.697272170411,11757.035835120714,5669.691619971843
ballou,3355.397895081006,1496.6000300342457,0.0,12174.56196181928,867.8352469054543,3760.564237868704,6229.32815706616,5215.438241982782,14386.285612079804,2655.6191896992254
winters,16026.013222621354,10398.97601957648,12174.56196181928,0.0,13850.591374677584,13503.692828263594,7350.807867705708,10719.71226927096,4391.392317833678,22623.480375633026
carson,3457.967667953568,2783.4686094934355,867.8352469054543,13850.591374677584,0.0,3290.0242236509735,6779.272351207534,4891.969332666951,14468.287979827319,1227.2329770368387
jack,4090.799962013006,3069.3197917532693,3760.564237868704,13503.692828263594,3290.0242236509735,0.0,5852.146279050472,3256.4322375380452,11750.76267005223,5958.70013054145
williams,10718.641321812354,4134.889050039499,6229.32815706616,7350.807867705708,6779.272351207534,5852.146279050472,0.0,3015.7356906985137,4747.078385962795,11084.735354287483
smith,9379.914604526579,4755.697272170411,5215.438241982782,10719.71226927096,4891.969332666951,3256.4322375380452,3015.7356906985137,0.0,7174.415541658648,6825.925732195783
cook,20851.434779341223,11757.035835120714,14386.285612079804,4391.392317833678,14468.287979827319,11750.76267005223,4747.078385962795,7174.415541658648,0.0,18139.371693973142
hank monk,2708.065190479407,5669.691619971843,2655.6191896992254,22623.480375633026,1227.2329770368387,5958.70013054145,11084.735354287483,6825.925732195783,18139.371693973142,0.0
