,tom,huck,joe,becky,sid,mary,polly,tom sawyer,potter,thatcher
tom,0.0,3.481950909883971,2.069957124102378,0.8793757949373612,0.9412851355875925,3.4832454259954395,2.617187607082172,8.709665247458528,31.157733617285533,18.73821133002754
huck,3.481950909883971,0.0,74.41172747226427,75.78852269133431,280.3260975218203,369.1340879749722,245.73308190806827,96.55454327843503,171.3419360512378,83.21378941006942
joe,2.069957124102378,74.41172747226427,0.0,245.74600552921135,196.56155612731453,304.00325414883207,246.39476159674157,199.40150840480598,88.83947912301775,239.64423908337648
becky,0.8793757949373612,75.78852269133431,245.74600552921135,0.0,764.549934527583,686.7122010799098,386.9753353354862,163.29363265082551,552.8872307318537,53.98133022249467
sid,0.9412851355875925,280.3260975218203,196.56155612731453,764.549934527583,0.0,38.44298390336213,68.58305060724784,207.2562516376034,426.09587411501195,1330.3036761399262
mary,3.4832454259954395,369.1340879749722,304.00325414883207,686.7122010799098,38.44298390336213,0.0,358.51226402832793,902.7035617719681,1106.7188797799358,2679.3169360618926
polly,2.617187607082172,245.73308190806827,246.39476159674157,386.9753353354862,68.58305060724784,358.51226402832793,0.0,509.24740388065607,1215.6422400567149,1985.8063817964212
tom sawyer,8.709665247458528,96.55454327843503,199.40150840480598,163.29363265082551,207.2562516376034,902.7035617719681,509.24740388065607,0.0,1389.6492348101494,1466.6829853809445
potter,31.157733617285533,171.3419360512378,88.83947912301775,552.8872307318537,426.09587411501195,1106.7188797799358,1215.6422400567149,1389.6492348101494,0.0,3222.6630522378446
thatcher,18.73821133002754,83.21378941006942,239.64423908337648,53.98133022249467,1330.3036761399262,2679.3169360618926,1985.8063817964212,1466.6829853809445,3222.6630522378446,0.0
