,richards,mary,edward,burgess,wilson,billson,stephenson,halliday,goodson,harkness
richards,0.0,7.189436258099442,8.365070400966658,10.316990113798129,71.60646124913454,81.40389193892211,4.842189839775782,14.145138251529728,17.94845189083276,10.877659829370428
mary,7.189436258099442,0.0,3.4008191329127073,21.114098305723253,76.56148199266072,97.12634052550321,13.782472106936789,41.08305077707731,13.365577403074564,12.38003483464558
edward,8.365070400966658,3.4008191329127073,0.0,33.75075727795186,87.37143676754049,108.42989360758754,20.53647469593574,82.93080368436563,26.913536796181447,12.263771974581356
burgess,10.316990113798129,21.114098305723253,33.75075727795186,0.0,53.289882319965415,57.014533048731586,116.88679519860956,74.49630082467391,139.0990228485173,103.00812879514258
wilson,71.60646124913454,76.56148199266072,87.37143676754049,53.289882319965415,0.0,7.806633031276556,167.48009430602818,126.65913654376502,314.3681935387444,177.3238480912758
billson,81.40389193892211,97.12634052550321,108.42989360758754,57.014533048731586,7.806633031276556,0.0,168.01728836667172,127.84969355692972,260.47296653339856,379.52919492038404
stephenson,4.842189839775782,13.782472106936789,20.53647469593574,116.88679519860956,167.48009430602818,168.01728836667172,0.0,109.5970525057972,72.87155165402694,423.6019505612385
halliday,14.145138251529728,41.08305077707731,82.93080368436563,74.49630082467391,126.65913654376502,127.84969355692972,109.5970525057972,0.0,169.41518930078107,543.2456426563006
goodson,17.94845189083276,13.365577403074564,26.913536796181447,139.0990228485173,314.3681935387444,260.47296653339856,72.87155165402694,169.41518930078107,0.0,884.7348079395842
harkness,10.877659829370428,12.38003483464558,12.263771974581356,103.00812879514258,177.3238480912758,379.52919492038404,423.6019505612385,543.2456426563006,884.7348079395842,0.0
