,richards,mary,edward,burgess,wilson,billson,stephenson,halliday,goodson,harkness
richards,0.0,25.229433154201864,29.935905294429727,39.6146299357826,315.28230113793694,370.7938987442119,25.074554940637874,73.10650073059311,89.88876392179351,67.32224824467393
mary,25.229433154201864,0.0,11.887139249867214,84.30721453936134,335.80646441083235,443.26644950180906,69.96873630091875,208.7932762256114,67.02290223913637,76.47216345335443
edward,29.935905294429727,11.887139249867214,0.0,132.67699917553506,372.5917793391353,486.8006028017401,102.51858392583127,432.6573323978038,136.139906077628,75.76653034728977
burgess,39.6146299357826,84.30721453936134,132.67699917553506,0.0,240.2899865616906,265.51717492889253,602.2840091459655,383.838386228646,723.0250627602152,641.7180832975897
wilson,315.28230113793694,335.80646441083235,372.5917793391353,240.2899865616906,0.0,34.511780204660994,875.4349285005685,668.4473270662465,1660.5763089023085,1080.2971128043034
billson,370.7938987442119,443.26644950180906,486.8006028017401,265.51717492889253,34.511780204660994,0.0,881.8315831010108,678.1573123717826,1363.7801055041143,2275.6454408026448
stephenson,25.074554940637874,69.96873630091875,102.51858392583127,602.2840091459655,875.4349285005685,881.8315831010108,0.0,585.9406291857798,365.89226418898033,2448.9637795651283
halliday,73.10650073059311,208.7932762256114,432.6573323978038,383.838386228646,668.4473270662465,678.1573123717826,585.9406291857798,0.0,882.9876849651454,3167.8202964881316
goodson,89.88876392179351,67.02290223913637,136.139906077628,723.0250627602152,1660.5763089023085,1363.7801055041143,365.89226418898033,882.9876849651454,0.0,5013.443450458
harkness,67.32224824467393,76.47216345335443,75.76653034728977,641.7180832975897,1080.2971128043034,2275.6454408026448,2448.9637795651283,3167.8202964881316,5013.443450458,0.0
