,alaric,burns,burke,barnum,darley,mcfadden,brown,duffy,red mcfadden,p. t. barnum
alaric,0.0,175.57125692639408,712.4445603847082,646.0832123288054,887.9598348755943,586.9361945664101,1063.9963346202517,538.6082468965952,2653.0,702.9999999999999
burns,175.57125692639408,0.0,449.5041738790814,383.2730879077264,489.805261987765,457.8467075327288,571.4517675829114,440.2343478251208,2645.0,695.0000000000001
burke,712.4445603847082,449.5041738790814,0.0,59.86112235406515,529.147210663471,674.8116497612217,130.2066794497499,1077.7496375549695,1751.0000000000002,86.0
barnum,646.0832123288054,383.2730879077264,59.86112235406515,0.0,483.82037937757065,646.8926814737174,246.48377175109098,954.5,1982.0,32.00000000000001
darley,887.9598348755943,489.805261987765,529.147210663471,483.82037937757065,0.0,284.60785123977985,768.962156338356,468.5849684804225,734.9999999999999,957.9999999999999
mcfadden,586.9361945664101,457.8467075327288,674.8116497612217,646.8926814737174,284.60785123977985,0.0,969.8797699709851,1.6655694150420952,30.0,1980.0
brown,1063.9963346202517,571.4517675829114,130.2066794497499,246.48377175109098,768.962156338356,969.8797699709851,0.0,1239.9949596569313,1480.9999999999998,423.00000000000006
duffy,538.6082468965952,440.2343478251208,1077.7496375549695,954.5,468.5849684804225,1.6655694150420952,1239.9949596569313,0.0,3951.0000000000005,2001.0
red mcfadden,2653.0,2645.0,1751.0000000000002,1982.0,734.9999999999999,30.0,1480.9999999999998,3951.0000000000005,0.0,1949.9999999999998
p. t. barnum,702.9999999999999,695.0000000000001,86.0,32.00000000000001,957.9999999999999,1980.0,423.00000000000006,2001.0,1949.9999999999998,0.0
