,alaric,burns,burke,barnum,darley,mcfadden,brown,duffy,red mcfadden,p. t. barnum
alaric,0.0,356.40068728057815,1546.4767493364084,1397.3543616128068,2000.8526619374177,1310.507971085352,2525.1783754929265,1245.989303367789,6953.168003107323,1810.971512250566
burns,356.40068728057815,0.0,991.9227112806115,842.8863517573607,1125.0225644701557,1034.3078052731373,1379.4950232247659,1000.439259199979,6932.706946347667,1790.51045549091
burke,1546.4767493364084,991.9227112806115,0.0,135.25852509554815,1234.7977463425896,1555.1511269691484,316.95226208983786,2554.80387204304,4625.047790236372,223.258085437501
barnum,1397.3543616128068,842.8863517573607,135.25852509554815,0.0,1127.9949587666094,1488.7460876282244,598.7318062124968,2256.523651612715,5225.177437427121,82.98094657036383
darley,2000.8526619374177,1125.0225644701557,1234.7977463425896,1127.9949587666094,0.0,652.8568654778293,1848.593596139114,1095.1034691760638,1976.7100914314688,2461.2784248127937
mcfadden,1310.507971085352,1034.3078052731373,1555.1511269691484,1488.7460876282244,652.8568654778293,0.0,2346.324217876624,3.8406493089965013,80.30433308411011,5222.500823940866
brown,2525.1783754929265,1379.4950232247659,316.95226208983786,598.7318062124968,1848.593596139114,2346.324217876624,0.0,2949.5134047645174,3920.411086104732,1101.4993515812166
duffy,1245.989303367789,1000.439259199979,2554.80387204304,2256.523651612715,1095.1034691760638,3.8406493089965013,2949.5134047645174,0.0,10221.42217002652,5079.225679169764
red mcfadden,6953.168003107323,6932.706946347667,4625.047790236372,5225.177437427121,1976.7100914314688,80.30433308411011,3920.411086104732,10221.42217002652,0.0,5142.196490856758
p. t. barnum,1810.971512250566,1790.51045549091,223.258085437501,82.98094657036383,2461.2784248127937,5222.500823940866,1101.4993515812166,5079.225679169764,5142.196490856758,0.0
