,bertram,mannering,glossin,brown,hazlewood,pleydell,dominie,sampson,dinmont,laird
bertram,0.0,84.40047855465804,65.26080666015058,120.5851388565647,33.474012494890715,21.27049389739207,6.110482183564036,6.003771771132073,19.054075083835013,67.87587188501027
mannering,84.40047855465804,0.0,55.120016710188466,82.52362257400416,51.09141522005098,19.868392242415418,9.450936592368237,12.357681315807165,37.82858571882396,37.77820209908281
glossin,65.26080666015058,55.120016710188466,0.0,156.68883233903824,35.92985137289312,80.72420569166825,185.06285030465907,198.22278967508473,118.60408813047182,547.7787625620666
brown,120.5851388565647,82.52362257400416,156.68883233903824,0.0,187.70960963544837,384.3974910964749,174.30766245335178,164.2892834246374,151.8962162660844,335.70560916250736
hazlewood,33.474012494890715,51.09141522005098,35.92985137289312,187.70960963544837,0.0,137.971706277789,172.1604133623866,186.29480010905814,64.37361365888124,711.9131465033598
pleydell,21.27049389739207,19.868392242415418,80.72420569166825,384.3974910964749,137.971706277789,0.0,348.37908554485944,380.23062702823216,141.60996190750882,1060.502909085302
dominie,6.110482183564036,9.450936592368237,185.06285030465907,174.30766245335178,172.1604133623866,348.37908554485944,0.0,32.75964345906487,135.2263903812312,484.10557906906206
sampson,6.003771771132073,12.357681315807165,198.22278967508473,164.2892834246374,186.29480010905814,380.23062702823216,32.75964345906487,0.0,203.45624026776088,510.0710478542461
dinmont,19.054075083835013,37.82858571882396,118.60408813047182,151.8962162660844,64.37361365888124,141.60996190750882,135.2263903812312,203.45624026776088,0.0,898.9541691944522
laird,67.87587188501027,37.77820209908281,547.7787625620666,335.70560916250736,711.9131465033598,1060.502909085302,484.10557906906206,510.0710478542461,898.9541691944522,0.0
