,bertram,mannering,glossin,brown,hazlewood,pleydell,dominie,sampson,dinmont,laird
bertram,0.0,43.243824706316744,30.673268337899582,58.01036210229521,15.17915616217579,9.316103475792984,2.8399533971387916,2.7517686049436993,8.58253737131994,33.367880852442845
mannering,43.243824706316744,0.0,26.143283109756258,39.71590245455197,22.99613068401304,8.602141261715369,4.2778879468096,5.634459406261475,16.616133072766658,18.488629839119533
glossin,30.673268337899582,26.143283109756258,0.0,74.69235978696727,16.037114622225488,35.18031101344602,84.37019614910349,89.82935618538788,51.714895919302386,255.64797123383354
brown,58.01036210229521,39.71590245455197,74.69235978696727,0.0,84.99778019141955,170.38038220719216,79.412275790385,74.66796411921361,65.67644154448384,159.43781662086806
hazlewood,15.17915616217579,22.99613068401304,16.037114622225488,84.99778019141955,0.0,60.72551896304338,78.94655733406748,84.92715980937116,28.350517835909624,328.94024764244716
pleydell,9.316103475792984,8.602141261715369,35.18031101344602,170.38038220719216,60.72551896304338,0.0,156.71395864925094,170.18804509653165,61.90029008824253,480.02574953359317
dominie,2.8399533971387916,4.2778879468096,84.37019614910349,79.412275790385,78.94655733406748,156.71395864925094,0.0,14.83555169590656,60.34313108096716,222.6218013066748
sampson,2.7517686049436993,5.634459406261475,89.82935618538788,74.66796411921361,84.92715980937116,170.18804509653165,14.83555169590656,0.0,90.77741165048643,234.9980720959943
dinmont,8.58253737131994,16.616133072766658,51.714895919302386,65.67644154448384,28.350517835909624,61.90029008824253,60.34313108096716,90.77741165048643,0.0,410.0995073814309
laird,33.367880852442845,18.488629839119533,255.64797123383354,159.43781662086806,328.94024764244716,480.02574953359317,222.6218013066748,234.9980720959943,410.0995073814309,0.0
