,cedric,rebecca,de bracy,rowena,isaac,saxon,gurth,john,richard,wamba
cedric,0.0,128.07817276237012,40.661986327806,12.513709238798807,61.772807891673665,5.311057577926373,66.94852269954633,93.4651905365409,94.61722156322448,14.291439583315372
rebecca,128.07817276237012,0.0,48.30409489436063,100.13752866275355,72.47464902079726,121.55461184925456,271.66452275953753,213.93471634887317,62.941159185392635,134.32747664603974
de bracy,40.661986327806,48.30409489436063,0.0,134.51024240568276,74.51607581429984,133.65484825223365,273.4968936583154,193.97218184788983,272.54297295231305,171.1198787440435
rowena,12.513709238798807,100.13752866275355,134.51024240568276,0.0,98.14971181308377,35.12454392467485,126.26813075452499,126.23577037766553,193.292233065793,63.12908321363213
isaac,61.772807891673665,72.47464902079726,74.51607581429984,98.14971181308377,0.0,133.69812168749232,218.01684981561186,145.0425953270901,251.60040877165733,119.34760144727856
saxon,5.311057577926373,121.55461184925456,133.65484825223365,35.12454392467485,133.69812168749232,0.0,128.7782990826623,168.06713800175302,264.7860798153413,52.52604191959279
gurth,66.94852269954633,271.66452275953753,273.4968936583154,126.26813075452499,218.01684981561186,128.7782990826623,0.0,94.23047578380881,580.5027932909456,235.39518703181767
john,93.4651905365409,213.93471634887317,193.97218184788983,126.23577037766553,145.0425953270901,168.06713800175302,94.23047578380881,0.0,528.2362581763585,256.68759408521413
richard,94.61722156322448,62.941159185392635,272.54297295231305,193.292233065793,251.60040877165733,264.7860798153413,580.5027932909456,528.2362581763585,0.0,399.0583090681627
wamba,14.291439583315372,134.32747664603974,171.1198787440435,63.12908321363213,119.34760144727856,52.52604191959279,235.39518703181767,256.68759408521413,399.0583090681627,0.0
