,varney,tressilian,elizabeth,lambourne,janet,amy,foster,blount,michael lambourne,anthony foster
varney,0.0,31.445481948722165,9.309444660556125,15.7277452792905,19.01875598298911,8.113868379051555,2.9950207545459273,49.6286153286718,69.74829172344486,14.386128421676524
tressilian,31.445481948722165,0.0,82.21648992968441,35.09516721881967,144.664720746479,35.48314351188149,70.83279673980078,30.4046795744591,34.11461543196395,44.98111545946369
elizabeth,9.309444660556125,82.21648992968441,0.0,195.3950868522753,176.7473080195034,53.195127994538254,221.0486491263146,39.9327855008538,423.427480229025,380.7766395147612
lambourne,15.7277452792905,35.09516721881967,195.3950868522753,0.0,157.09048105714518,67.31451173405851,52.80735453899397,188.18970803862317,4.909712974936268,35.456987211003316
janet,19.01875598298911,144.664720746479,176.7473080195034,157.09048105714518,0.0,198.9227837999431,163.99466971997964,392.12677165705446,298.02514890948345,136.95300188052346
amy,8.113868379051555,35.48314351188149,53.195127994538254,67.31451173405851,198.9227837999431,0.0,134.91566988498244,223.5772756214041,250.70232438960576,141.17068693201216
foster,2.9950207545459273,70.83279673980078,221.0486491263146,52.80735453899397,163.99466971997964,134.91566988498244,0.0,509.6906824725949,254.19765514760468,45.26339564887717
blount,49.6286153286718,30.4046795744591,39.9327855008538,188.18970803862317,392.12677165705446,223.5772756214041,509.6906824725949,0.0,758.1992613836996,683.2747572320351
michael lambourne,69.74829172344486,34.11461543196395,423.427480229025,4.909712974936268,298.02514890948345,250.70232438960576,254.19765514760468,758.1992613836996,0.0,166.3312144435157
anthony foster,14.386128421676524,44.98111545946369,380.7766395147612,35.456987211003316,136.95300188052346,141.17068693201216,45.26339564887717,683.2747572320351,166.3312144435157,0.0
