,varney,tressilian,elizabeth,lambourne,janet,amy,foster,blount,michael lambourne,anthony foster
varney,0.0,16.30911863770364,4.429804948933306,8.155821221806862,8.81662798334717,3.686090246897702,1.4341528442833271,21.50901561462757,34.47788120237916,6.843503571583554
tressilian,16.30911863770364,0.0,38.97869019972834,17.49763541034514,67.29955159271174,15.687501511678887,30.734141559763607,13.169989193959575,16.177510076989588,19.674698741483486
elizabeth,4.429804948933306,38.97869019972834,0.0,95.42792722003595,82.71689751767336,25.06361827982025,100.4306980486806,17.258611045384715,194.3869445232208,172.28746398197399
lambourne,8.155821221806862,17.49763541034514,95.42792722003595,0.0,73.24031661425501,30.2403707329647,23.148781002159485,81.2260207998666,2.437902542134392,15.714159197488174
janet,8.81662798334717,67.29955159271174,82.71689751767336,73.24031661425501,0.0,89.31917571328407,71.81343707800659,167.92810877030522,137.95320594347385,62.029868489288255
amy,3.686090246897702,15.687501511678887,25.06361827982025,30.2403707329647,89.31917571328407,0.0,59.54222360430879,97.85995052615124,117.75354720874505,64.1990801662465
foster,1.4341528442833271,30.734141559763607,100.4306980486806,23.148781002159485,71.81343707800659,59.54222360430879,0.0,223.34799461641785,116.74974849309045,20.421188442380014
blount,21.50901561462757,13.169989193959575,17.258611045384715,81.2260207998666,167.92810877030522,97.85995052615124,223.34799461641785,0.0,340.9449140341375,301.73470693810015
michael lambourne,34.47788120237916,16.177510076989588,194.3869445232208,2.437902542134392,137.95320594347385,117.75354720874505,116.74974849309045,340.9449140341375,0.0,76.1047487322598
anthony foster,6.843503571583554,19.674698741483486,172.28746398197399,15.714159197488174,62.029868489288255,64.1990801662465,20.421188442380014,301.73470693810015,76.1047487322598,0.0
