,morton,edith,burley,cuddie,bothwell,jenny,bellenden,lady margaret,balfour,milnwood
morton,0.0,22.338117187464317,2.5123608347154707,10.527043522319843,36.142406076469015,20.2282565000877,15.281142621838496,29.368060541103546,3.850143043816086,26.55088416146101
edith,22.338117187464317,0.0,105.05371160402346,54.25759628709345,225.0748007525373,39.29956494897322,13.943441309007333,40.92413574446856,73.98378565746972,81.46026382410867
burley,2.5123608347154707,105.05371160402346,0.0,88.78808920271513,297.57492402976226,75.01045696155714,64.18317702919394,144.45266794518838,3.321966211930245,185.93518991260265
cuddie,10.527043522319843,54.25759628709345,88.78808920271513,0.0,221.45398723061177,46.95407493138487,48.19837968511274,80.27070602277433,74.13097234069214,30.961919972715656
bothwell,36.142406076469015,225.0748007525373,297.57492402976226,221.45398723061177,0.0,376.83883177166115,431.62445921685185,141.145461460228,538.3706244058936,97.4795634542797
jenny,20.2282565000877,39.29956494897322,75.01045696155714,46.95407493138487,376.83883177166115,0.0,41.328836554966536,192.60039534545274,156.70232979328648,148.56016576176907
bellenden,15.281142621838496,13.943441309007333,64.18317702919394,48.19837968511274,431.62445921685185,41.328836554966536,0.0,303.3928870024291,96.32483728796694,236.01485704148038
lady margaret,29.368060541103546,40.92413574446856,144.45266794518838,80.27070602277433,141.145461460228,192.60039534545274,303.3928870024291,0.0,291.62072903213584,109.75760361515782
balfour,3.850143043816086,73.98378565746972,3.321966211930245,74.13097234069214,538.3706244058936,156.70232979328648,96.32483728796694,291.62072903213584,0.0,609.3508377160898
milnwood,26.55088416146101,81.46026382410867,185.93518991260265,30.961919972715656,97.4795634542797,148.56016576176907,236.01485704148038,109.75760361515782,609.3508377160898,0.0
