,quentin,louis,crevecoeur,durward,crawford,oliver,charles,isabelle,hayraddin,quentin durward
quentin,0.0,42.55733913048528,63.82945547967901,6.02862717009053,25.296336274351745,45.39011246682972,57.830023462176456,10.690260695576985,4.257266440221381,7.888680773593442
louis,42.55733913048528,0.0,10.822103434928065,57.26475531483809,28.13365960479132,16.37069083556973,2.39332083761731,34.39572113966053,178.65237314998572,22.78898470914616
crevecoeur,63.82945547967901,10.822103434928065,0.0,361.4741230057872,98.92251438785017,202.28513257408056,31.856901682605397,90.50005600408625,352.3390840819219,210.1569375885327
durward,6.02862717009053,57.26475531483809,361.4741230057872,0.0,172.56734736630898,160.19161105477653,345.55875612702306,112.25810501171112,93.5410618102139,15.081313639148505
crawford,25.296336274351745,28.13365960479132,98.92251438785017,172.56734736630898,0.0,300.4349666308188,180.1518746588546,221.12211914112538,438.2164787077466,153.5382189979077
oliver,45.39011246682972,16.37069083556973,202.28513257408056,160.19161105477653,300.4349666308188,0.0,525.4637171149278,352.05747860748346,344.87591601772453,254.02450412578995
charles,57.830023462176456,2.39332083761731,31.856901682605397,345.55875612702306,180.1518746588546,525.4637171149278,0.0,205.65306117219055,486.7351276630812,417.64266002461187
isabelle,10.690260695576985,34.39572113966053,90.50005600408625,112.25810501171112,221.12211914112538,352.05747860748346,205.65306117219055,0.0,322.08759680925505,396.5596265688658
hayraddin,4.257266440221381,178.65237314998572,352.3390840819219,93.5410618102139,438.2164787077466,344.87591601772453,486.7351276630812,322.08759680925505,0.0,405.3419133327001
quentin durward,7.888680773593442,22.78898470914616,210.1569375885327,15.081313639148505,153.5382189979077,254.02450412578995,417.64266002461187,396.5596265688658,405.3419133327001,0.0
