,alan,redgauntlet,darsie,alan fairford,herries,peter,fairford,joshua,nixon,darsie latimer
alan,0.0,840.5354013752413,439.6823619105556,73.77124802598472,293.38510517508854,401.42848677949024,15.154425325378872,246.2566515301746,1400.1509462432887,30.18978439026871
redgauntlet,840.5354013752413,0.0,234.70765116992453,407.4393562425967,1126.9930251466672,409.3636964894566,906.2094295570939,1903.5961551854184,63.47397160713224,760.2472971246552
darsie,439.6823619105556,234.70765116992453,0.0,267.6491054399847,817.1368902015435,341.60824474842315,722.0190211109043,769.548594552205,95.77878143540715,274.91939780801147
alan fairford,73.77124802598472,407.4393562425967,267.6491054399847,0.0,676.8781785738819,476.5259107923246,261.60166148959877,1169.4540670569656,1078.2648831582155,142.48135189496782
herries,293.38510517508854,1126.9930251466672,817.1368902015435,676.8781785738819,0.0,1388.0309857545608,609.108746600406,1226.397232699464,2852.574233601096,730.3065480243985
peter,401.42848677949024,409.3636964894566,341.60824474842315,476.5259107923246,1388.0309857545608,0.0,929.0888625286256,1942.663910415734,1024.1233995993518,820.6411807869337
fairford,15.154425325378872,906.2094295570939,722.0190211109043,261.60166148959877,609.108746600406,929.0888625286256,0.0,1435.5219483277217,2827.721845087392,430.1714245032389
joshua,246.2566515301746,1903.5961551854184,769.548594552205,1169.4540670569656,1226.397232699464,1942.663910415734,1435.5219483277217,0.0,3830.4837730254167,1163.5861163862053
nixon,1400.1509462432887,63.47397160713224,95.77878143540715,1078.2648831582155,2852.574233601096,1024.1233995993518,2827.721845087392,3830.4837730254167,0.0,3035.8830569909987
darsie latimer,30.18978439026871,760.2472971246552,274.91939780801147,142.48135189496782,730.3065480243985,820.6411807869337,430.1714245032389,1163.5861163862053,3035.8830569909987,0.0
