,rashleigh,andrew,rob roy,vernon,bailie,owen,macgregor,jarvie,rob,osbaldistone
rashleigh,0.0,90.51233797320286,258.6870842073562,18.171462516432406,263.6119907439358,152.9503499989687,268.7275943589693,241.75057936841105,247.09169140499273,29.439553612089384
andrew,90.51233797320286,0.0,343.47281589922164,180.3117448077784,172.52165283033295,119.4450525569769,281.3970799267921,116.98162621885906,225.98290298170136,92.8610009485887
rob roy,258.6870842073562,343.47281589922164,0.0,388.84852563173934,515.8636121885448,352.0797677852556,155.27943868101303,504.2045816211581,97.26522043430985,335.16458130297
vernon,18.171462516432406,180.3117448077784,388.84852563173934,0.0,548.336781135443,225.1948083940089,559.2215535180412,510.8244107552221,443.2169239465187,135.34671116636468
bailie,263.6119907439358,172.52165283033295,515.8636121885448,548.336781135443,0.0,399.4212789657942,237.7533507926392,60.67404061881039,323.14691034046604,395.70375261194187
owen,152.9503499989687,119.4450525569769,352.0797677852556,225.1948083940089,399.4212789657942,0.0,326.9981003250319,269.7944386106805,203.56000217985263,139.19585128058122
macgregor,268.7275943589693,281.3970799267921,155.27943868101303,559.2215535180412,237.7533507926392,326.9981003250319,0.0,420.3337810774023,147.21875576020005,422.94665042651974
jarvie,241.75057936841105,116.98162621885906,504.2045816211581,510.8244107552221,60.67404061881039,269.7944386106805,420.3337810774023,0.0,289.93015169911547,354.57083478089845
rob,247.09169140499273,225.98290298170136,97.26522043430985,443.2169239465187,323.14691034046604,203.56000217985263,147.21875576020005,289.93015169911547,0.0,305.76382035128796
osbaldistone,29.439553612089384,92.8610009485887,335.16458130297,135.34671116636468,395.70375261194187,139.19585128058122,422.94665042651974,354.57083478089845,305.76382035128796,0.0
