,rashleigh,andrew,rob roy,vernon,bailie,owen,macgregor,jarvie,rob,osbaldistone
rashleigh,0.0,189.21350021855875,506.2132156018649,37.915711016670535,578.9139528150819,327.3189531662054,572.0333074666319,545.669288387381,525.18126968506,65.8140918692829
andrew,189.21350021855875,0.0,683.4986387324866,382.4322719194344,382.60882895221044,252.60752922114497,601.500799077847,266.6911491338344,476.8216485802647,205.63505788173265
rob roy,506.2132156018649,683.4986387324866,0.0,795.429919368679,1084.5975339136342,728.3116994234096,337.5085563127019,1086.4937290885096,215.94563555210763,738.4707691087589
vernon,37.915711016670535,382.4322719194344,795.429919368679,0.0,1191.23851349395,476.8419196167547,1203.9703608740401,1133.6545776599198,946.9006990730282,304.21963636034747
bailie,578.9139528150819,382.60882895221044,1084.5975339136342,1191.23851349395,0.0,869.118760565398,507.4200390352911,138.0494437567051,694.1499973034405,895.5634375709031
owen,327.3189531662054,252.60752922114497,728.3116994234096,476.8419196167547,869.118760565398,0.0,705.2604476564599,601.3048202366549,431.89809136258907,311.80951379426506
macgregor,572.0333074666319,601.500799077847,337.5085563127019,1203.9703608740401,507.4200390352911,705.2604476564599,0.0,912.9288577200504,320.2030367716136,928.0977083362761
jarvie,545.669288387381,266.6911491338344,1086.4937290885096,1133.6545776599198,138.0494437567051,601.3048202366549,912.9288577200504,0.0,619.6607882956395,797.9121200259744
rob,525.18126968506,476.8216485802647,215.94563555210763,946.9006990730282,694.1499973034405,431.89809136258907,320.2030367716136,619.6607882956395,0.0,673.6371395510669
osbaldistone,65.8140918692829,205.63505788173265,738.4707691087589,304.21963636034747,895.5634375709031,311.80951379426506,928.0977083362761,797.9121200259744,673.6371395510669,0.0
