,mowbray,tyrrel,etherington,clara,jekyl,dods,lady penelope,cargill,meg,touchwood
mowbray,0.0,54.49901370421767,11.930770347409524,2.2833555575842555,92.47764579340128,74.90128755841157,18.17061712961752,25.858058673658235,197.98047531791582,36.87214650507901
tyrrel,54.49901370421767,0.0,157.54498282227095,56.65557275326673,83.49081082358073,64.75870990182977,54.64929610919434,199.71463902300658,95.33362093725566,104.74604056694643
etherington,11.930770347409524,157.54498282227095,0.0,164.88024178162698,71.16709734492579,300.33161354195414,223.20205867974084,143.67972695546348,961.2666269774346,86.60746244719012
clara,2.2833555575842555,56.65557275326673,164.88024178162698,0.0,176.81164437148274,124.35187568856087,91.14023006266876,107.35453686470382,368.6107630115868,112.32861022369572
jekyl,92.47764579340128,83.49081082358073,71.16709734492579,176.81164437148274,0.0,500.4604810225548,445.520484048087,386.6469030587951,1230.1725599120286,311.61913118200783
dods,74.90128755841157,64.75870990182977,300.33161354195414,124.35187568856087,500.4604810225548,0.0,258.28697704196344,238.15599628749513,544.8575180704024,208.30811456227428
lady penelope,18.17061712961752,54.64929610919434,223.20205867974084,91.14023006266876,445.520484048087,258.28697704196344,0.0,348.10156662783095,570.03618454567,267.6992651013199
cargill,25.858058673658235,199.71463902300658,143.67972695546348,107.35453686470382,386.6469030587951,238.15599628749513,348.10156662783095,0.0,877.7891484805757,136.07644516368427
meg,197.98047531791582,95.33362093725566,961.2666269774346,368.6107630115868,1230.1725599120286,544.8575180704024,570.03618454567,877.7891484805757,0.0,1034.692788190051
touchwood,36.87214650507901,104.74604056694643,86.60746244719012,112.32861022369572,311.61913118200783,208.30811456227428,267.6992651013199,136.07644516368427,1034.692788190051,0.0
