,mowbray,tyrrel,etherington,clara,jekyl,dods,lady penelope,cargill,meg,touchwood
mowbray,0.0,28.40758789580701,5.511553303782486,1.1232298664123792,40.99301151396537,34.9352873278865,8.655992132288986,11.602459373007486,102.25190884376032,16.496950071707605
tyrrel,28.40758789580701,0.0,75.93104872277651,27.127137991983588,37.68285810664929,30.624999980790946,24.7341894479583,89.53186124814306,50.674165160593745,46.97136105708696
etherington,5.511553303782486,75.93104872277651,0.0,79.4582899812985,31.56017215977175,137.9331759110452,104.60205948905731,63.93304171198639,455.7057269482989,38.64909094857023
clara,1.1232298664123792,27.127137991983588,79.4582899812985,0.0,79.21432689362521,58.28723982761399,42.262760819974545,48.298002156927986,184.5316299349828,50.17653630998203
jekyl,40.99301151396537,37.68285810664929,31.56017215977175,79.21432689362521,0.0,226.38030602167763,203.12572406185794,170.37092485117466,573.1361681451215,136.46298396285312
dods,34.9352873278865,30.624999980790946,137.9331759110452,58.28723982761399,226.38030602167763,0.0,120.04996690939427,107.73633537420322,265.9292495264497,92.36262421547784
lady penelope,8.655992132288986,24.7341894479583,104.60205948905731,42.262760819974545,203.12572406185794,120.04996690939427,0.0,159.36357081588835,276.0324660852877,121.25085913553536
cargill,11.602459373007486,89.53186124814306,63.93304171198639,48.298002156927986,170.37092485117466,107.73633537420322,159.36357081588835,0.0,418.42212602246434,59.77166067097111
meg,102.25190884376032,50.674165160593745,455.7057269482989,184.5316299349828,573.1361681451215,265.9292495264497,276.0324660852877,418.42212602246434,0.0,484.7549682583652
touchwood,16.496950071707605,46.97136105708696,38.64909094857023,50.17653630998203,136.46298396285312,92.36262421547784,121.25085913553536,59.77166067097111,484.7549682583652,0.0
