,roland,roland graeme,catherine,mary,douglas,catherine seyton,lindesay,adam woodcock,seyton,fleming
roland,0.0,154.19319241617478,71.8881418893535,35.264158063974264,58.4661139070994,10.23309091923729,332.9800880347481,75.26796391792169,67.85809984521256,86.5174794600261
roland graeme,154.19319241617478,0.0,238.99153623084203,194.72749785175716,251.02022360792236,13.86886488535367,255.10741949365737,22.965635888969775,434.3975037440779,128.05668493156014
catherine,71.8881418893535,238.99153623084203,0.0,98.6390265146284,56.05209375089166,86.03216706577395,802.8653243459545,722.2437865924123,229.24149649838387,33.07900486496823
mary,35.264158063974264,194.72749785175716,98.6390265146284,0.0,109.04675069049527,137.58698891859137,674.1700017307872,909.7785235538612,86.48099532983615,39.61680221236086
douglas,58.4661139070994,251.02022360792236,56.05209375089166,109.04675069049527,0.0,405.7075297358632,986.0608838244088,1823.3077678302411,211.75737608129737,113.50146506224826
catherine seyton,10.23309091923729,13.86886488535367,86.03216706577395,137.58698891859137,405.7075297358632,0.0,696.9898402182839,1177.9705308073367,611.7680166692043,178.2081599752709
lindesay,332.9800880347481,255.10741949365737,802.8653243459545,674.1700017307872,986.0608838244088,696.9898402182839,0.0,917.0295547698183,2063.608776497379,1621.1359494922297
adam woodcock,75.26796391792169,22.965635888969775,722.2437865924123,909.7785235538612,1823.3077678302411,1177.9705308073367,917.0295547698183,0.0,2579.560024170537,2569.4002083991027
seyton,67.85809984521256,434.3975037440779,229.24149649838387,86.48099532983615,211.75737608129737,611.7680166692043,2063.608776497379,2579.560024170537,0.0,854.7502369549761
fleming,86.5174794600261,128.05668493156014,33.07900486496823,39.61680221236086,113.50146506224826,178.2081599752709,1621.1359494922297,2569.4002083991027,854.7502369549761,0.0
