,eveline,rose,damian,de lacy,raoul,wilkin flammock,fleming,gwenwyn,gillian,wilkin
eveline,0.0,2.7775914237026473,15.949669015007345,5.768411478385233,7.669761474833294,12.380254136670723,11.746369392000926,103.19471780271581,5.676294041215805,20.897932201250946
rose,2.7775914237026473,0.0,74.6133179642774,26.30756750783491,21.117947658289633,57.26533287824353,46.04674331225027,214.57026962919127,10.99555584312888,86.73040615285927
damian,15.949669015007345,74.6133179642774,0.0,27.038389628124346,20.634331116793497,196.1294418462025,145.59278142299712,465.583445621375,31.920172357992417,269.80762341312925
de lacy,5.768411478385233,26.30756750783491,27.038389628124346,0.0,27.399527334578337,165.07606520471765,123.20957436146416,399.9267784025594,34.92923922775761,217.0886778449499
raoul,7.669761474833294,21.117947658289633,20.634331116793497,27.399527334578337,0.0,205.87587022946283,169.25322916168008,459.6029598163464,15.99296343556656,279.43385518931603
wilkin flammock,12.380254136670723,57.26533287824353,196.1294418462025,165.07606520471765,205.87587022946283,0.0,23.507124984203813,169.78581585361727,213.1750310770967,16.19554829647303
fleming,11.746369392000926,46.04674331225027,145.59278142299712,123.20957436146416,169.25322916168008,23.507124984203813,0.0,253.6363421943933,178.4304113765578,20.825041884567106
gwenwyn,103.19471780271581,214.57026962919127,465.583445621375,399.9267784025594,459.6029598163464,169.78581585361727,253.6363421943933,0.0,538.2933552835593,168.0833919972973
gillian,5.676294041215805,10.99555584312888,31.920172357992417,34.92923922775761,15.99296343556656,213.1750310770967,178.4304113765578,538.2933552835593,0.0,330.3829407742487
wilkin,20.897932201250946,86.73040615285927,269.80762341312925,217.0886778449499,279.43385518931603,16.19554829647303,20.825041884567106,168.0833919972973,330.3829407742487,0.0
