,hobbie,ratcliffe,ellieslaw,isabella,earnscliff,mareschal,frederick,elshie,vere,elliot
hobbie,0.0,179.49581234472652,147.78697989900178,179.33525752092925,14.84951257354891,168.89677014775774,176.9543815308708,10.86338181473473,171.5845888797115,4.352517933695875
ratcliffe,179.49581234472652,0.0,35.259874929522645,25.521946004488296,412.27398173604996,34.907650245566465,30.830277663204374,372.92505757127486,19.926128970114508,377.0476153786081
ellieslaw,147.78697989900178,35.259874929522645,0.0,63.3452719477336,396.04656622252145,15.552951515321167,10.27436282345743,346.4612388749887,30.30091502516834,353.7543324957535
isabella,179.33525752092925,25.521946004488296,63.3452719477336,0.0,444.6972283454759,83.81603074810907,41.928317984498406,386.2606961724323,90.87026087294456,397.1860469874919
earnscliff,14.84951257354891,412.27398173604996,396.04656622252145,444.6972283454759,0.0,443.07324723377496,450.2068723599851,102.44441006421515,374.2720187051525,67.89871218191864
mareschal,168.89677014775774,34.907650245566465,15.552951515321167,83.81603074810907,443.07324723377496,0.0,27.257954675935835,404.9071264268144,40.691876991427684,435.89966033640854
frederick,176.9543815308708,30.830277663204374,10.27436282345743,41.928317984498406,450.2068723599851,27.257954675935835,0.0,423.9778420368726,46.12717340936471,430.5287019422225
elshie,10.86338181473473,372.92505757127486,346.4612388749887,386.2606961724323,102.44441006421515,404.9071264268144,423.9778420368726,0.0,388.6184881861732,62.02633563548926
vere,171.5845888797115,19.926128970114508,30.30091502516834,90.87026087294456,374.2720187051525,40.691876991427684,46.12717340936471,388.6184881861732,0.0,436.0700880574778
elliot,4.352517933695875,377.0476153786081,353.7543324957535,397.1860469874919,67.89871218191864,435.89966033640854,430.5287019422225,62.02633563548926,436.0700880574778,0.0
