,caleb,bucklaw,lucy,lady ashton,ashton,wolf,craigengelt,marquis,william ashton,alice
caleb,0.0,49.48059087276667,100.99891662077505,174.0594729829126,171.61619561193928,8.222142544488436,72.53885849576245,73.25715719377595,83.56469823607986,144.4427163806921
bucklaw,49.48059087276667,0.0,59.61390181338273,55.18965253380352,67.29149183385266,60.20211428382221,13.647658221310456,81.9527401216814,58.79027222805892,123.86631847849779
lucy,100.99891662077505,59.61390181338273,0.0,23.809958296509173,30.32367871486874,126.56017834490972,35.03481429071815,91.32062754016715,30.673059513271195,17.53619794356628
lady ashton,174.0594729829126,55.18965253380352,23.809958296509173,0.0,41.97377817114829,296.8942012645329,258.18275898226415,112.85200509424197,183.488003324611,289.42049285200955
ashton,171.61619561193928,67.29149183385266,30.32367871486874,41.97377817114829,0.0,326.55696550613663,310.6277956954296,167.94781458015376,238.23101146033216,377.8344697781413
wolf,8.222142544488436,60.20211428382221,126.56017834490972,296.8942012645329,326.55696550613663,0.0,114.71135922660027,150.96637272952464,103.03780077523504,217.75492406830332
craigengelt,72.53885849576245,13.647658221310456,35.03481429071815,258.18275898226415,310.6277956954296,114.71135922660027,0.0,159.0447294064074,65.2299810391768,117.92286689186497
marquis,73.25715719377595,81.9527401216814,91.32062754016715,112.85200509424197,167.94781458015376,150.96637272952464,159.0447294064074,0.0,203.07766367242027,202.9784192270677
william ashton,83.56469823607986,58.79027222805892,30.673059513271195,183.488003324611,238.23101146033216,103.03780077523504,65.2299810391768,203.07766367242027,0.0,82.49489853993938
alice,144.4427163806921,123.86631847849779,17.53619794356628,289.42049285200955,377.8344697781413,217.75492406830332,117.92286689186497,202.9784192270677,82.49489853993938,0.0
