,caleb,bucklaw,lucy,lady ashton,ashton,wolf,craigengelt,marquis,william ashton,alice
caleb,0.0,24.692344071127625,50.17660902436897,79.91608416117884,77.7767065357282,3.89372000129459,33.67650174921172,32.98782681445593,38.57851498425154,65.26264146612971
bucklaw,24.692344071127625,0.0,29.992696813042127,25.485370458265166,30.367622011624473,28.255738399908584,6.323857371573246,36.67406078167991,27.511640180661676,55.59014389410603
lucy,50.17660902436897,29.992696813042127,0.0,10.89226763585825,13.587948363102727,59.535713587314795,16.682025300708467,40.99011395405892,14.117342798188796,7.673948904639738
lady ashton,79.91608416117884,25.485370458265166,10.89226763585825,0.0,19.023179338603672,137.08018814624776,119.30098206705247,50.97514531205377,83.64682998760793,128.96699298428615
ashton,77.7767065357282,30.367622011624473,13.587948363102727,19.023179338603672,0.0,150.24382008907133,142.4577031918634,75.09223231922851,108.66721732751667,166.62626861664998
wolf,3.89372000129459,28.255738399908584,59.535713587314795,137.08018814624776,150.24382008907133,0.0,53.656443161012874,69.04023343637924,47.65170882195824,98.2320091792591
craigengelt,33.67650174921172,6.323857371573246,16.682025300708467,119.30098206705247,142.4577031918634,53.656443161012874,0.0,72.71810902600716,30.2067711785612,52.92218366125525
marquis,32.98782681445593,36.67406078167991,40.99011395405892,50.97514531205377,75.09223231922851,69.04023343637924,72.71810902600716,0.0,93.03541219563434,91.15700512985234
william ashton,38.57851498425154,27.511640180661676,14.117342798188796,83.64682998760793,108.66721732751667,47.65170882195824,30.2067711785612,93.03541219563434,0.0,37.05066128486815
alice,65.26264146612971,55.59014389410603,7.673948904639738,128.96699298428615,166.62626861664998,98.2320091792591,52.92218366125525,91.15700512985234,37.05066128486815,0.0
