,catharine,henry,douglas,ramorny,simon,simon glover,john ramorny,oliver,louise,bonthron
catharine,0.0,24.88579573407549,83.88187767100162,36.662360643863586,15.955757402933324,20.006336430059804,83.07495028942971,164.54593154162015,170.51584138761933,92.26096399847889
henry,24.88579573407549,0.0,111.31776462860999,119.15274573740206,58.63617796951054,53.72835933656778,89.55413472243335,46.94886926464262,189.6148360856846,145.952653761014
douglas,83.88187767100162,111.31776462860999,0.0,218.23694605871518,199.72782165216736,203.57063915554681,326.2202771511643,232.84083101186172,36.844022717752054,444.40062635089816
ramorny,36.662360643863586,119.15274573740206,218.23694605871518,0.0,238.3523607741568,236.78839297475625,38.92235259616797,146.882043965158,307.0001190638649,70.43641838801939
simon,15.955757402933324,58.63617796951054,199.72782165216736,238.3523607741568,0.0,24.164838858260385,229.35689745104298,371.9847476756613,354.2048940868845,211.72638866266868
simon glover,20.006336430059804,53.72835933656778,203.57063915554681,236.78839297475625,24.164838858260385,0.0,228.16113666625833,389.34768979695133,406.2244560415985,221.32878676857155
john ramorny,83.07495028942971,89.55413472243335,326.2202771511643,38.92235259616797,229.35689745104298,228.16113666625833,0.0,505.12869334166487,603.458870660716,125.02148311440452
oliver,164.54593154162015,46.94886926464262,232.84083101186172,146.882043965158,371.9847476756613,389.34768979695133,505.12869334166487,0.0,612.2424949497962,695.7333475686355
louise,170.51584138761933,189.6148360856846,36.844022717752054,307.0001190638649,354.2048940868845,406.2244560415985,603.458870660716,612.2424949497962,0.0,722.8991598549381
bonthron,92.26096399847889,145.952653761014,444.40062635089816,70.43641838801939,211.72638866266868,221.32878676857155,125.02148311440452,695.7333475686355,722.8991598549381,0.0
