,catharine,henry,douglas,ramorny,simon,simon glover,john ramorny,oliver,louise,bonthron
catharine,0.0,12.419844070101982,40.25743264732416,16.68904922406804,7.289715380476471,8.99851332137845,34.981173852880296,71.31635881888212,76.3469636909307,38.33548842596518
henry,12.419844070101982,0.0,52.82519284296015,54.829636903138955,26.095536472106975,23.33563862581226,37.44037126520735,20.17535283396222,83.61743859967575,60.73097650353693
douglas,40.25743264732416,52.82519284296015,0.0,101.54976753513849,93.0941158159386,90.52713585389183,136.80966913735378,101.26192168470192,16.019556431787436,181.63270345013268
ramorny,16.68904922406804,54.829636903138955,101.54976753513849,0.0,111.3845816402109,106.45105662075825,16.598367945381995,64.11891064905727,134.1312325490179,29.198487804476176
simon,7.289715380476471,26.095536472106975,93.0941158159386,111.3845816402109,0.0,10.866942855641085,95.97890867338245,157.70180125222188,157.91411324405888,87.32602367692526
simon glover,8.99851332137845,23.33563862581226,90.52713585389183,106.45105662075825,10.866942855641085,0.0,95.35637638541525,164.66727800013882,179.34290057580742,91.38586615804125
john ramorny,34.981173852880296,37.44037126520735,136.80966913735378,16.598367945381995,95.97890867338245,95.35637638541525,0.0,215.8617754888875,259.605550664589,51.98901313148329
oliver,71.31635881888212,20.17535283396222,101.26192168470192,64.11891064905727,157.70180125222188,164.66727800013882,215.8617754888875,0.0,263.55356424922945,293.70341911562133
louise,76.3469636909307,83.61743859967575,16.019556431787436,134.1312325490179,157.91411324405888,179.34290057580742,259.605550664589,263.55356424922945,0.0,308.67655920041983
bonthron,38.33548842596518,60.73097650353693,181.63270345013268,29.198487804476176,87.32602367692526,91.38586615804125,51.98901313148329,293.70341911562133,308.67655920041983,0.0
