,catharine,henry,douglas,ramorny,simon,simon glover,john ramorny,oliver,louise,bonthron
catharine,0.0,49.533634171585405,173.27916944493694,79.7589257682168,34.66921660772264,44.16589924941203,195.36483838800595,376.1472269054269,377.21364657428677,219.85010244751234
henry,49.533634171585405,0.0,232.59132095948436,256.61977772495254,130.74469723999803,122.81276662157873,212.14022237663667,108.19130912076429,426.2253932533483,347.3159009585443
douglas,173.27916944493694,232.59132095948436,0.0,464.66494058142206,425.5816821551612,454.6023417993053,770.7060757181092,530.3207067480952,83.99538776858871,1076.6644098224965
ramorny,79.7589257682168,256.61977772495254,464.66494058142206,0.0,506.1629077774847,522.6366596773797,90.42520267752334,333.2732772552082,695.9754222342812,168.23410616616502
simon,34.66921660772264,130.74469723999803,425.5816821551612,506.1629077774847,0.0,53.359796500235,542.7801997640094,869.2512975538506,787.9299929484876,508.29778975359505
simon glover,44.16589924941203,122.81276662157873,454.6023417993053,522.6366596773797,53.359796500235,0.0,540.7057841961459,911.863643000696,912.5984510544394,530.7934222690146
john ramorny,195.36483838800595,212.14022237663667,770.7060757181092,90.42520267752334,542.7801997640094,540.7057841961459,0.0,1170.9795374531745,1389.8023639003136,297.6922968307644
oliver,376.1472269054269,108.19130912076429,530.3207067480952,333.2732772552082,869.2512975538506,911.863643000696,1170.9795374531745,0.0,1409.296515521946,1632.3610818773336
louise,377.21364657428677,426.2253932533483,83.99538776858871,695.9754222342812,787.9299929484876,912.5984510544394,1389.8023639003136,1409.296515521946,0.0,1677.1719804752697
bonthron,219.85010244751234,347.3159009585443,1076.6644098224965,168.23410616616502,508.29778975359505,530.7934222690146,297.6922968307644,1632.3610818773336,1677.1719804752697,0.0
