,halbert,piercie shafton,edward,abbot,mary,mary avenel,halbert glendinning,christie,eustace,murray
halbert,0.0,44.50663234827077,37.77463920652322,34.81725501862688,60.03021507224288,19.50287505693159,5.780793899699148,39.86176690998669,96.07734240801288,384.0165927614425
piercie shafton,44.50663234827077,0.0,58.56107853216667,174.59636519210625,236.678662407146,36.05253203084378,24.237871421141442,131.2820171091718,309.41145413627305,222.18440768878696
edward,37.77463920652322,58.56107853216667,0.0,113.86944282765079,168.52068140532418,35.314153401994595,93.16987362329006,51.083880860159205,160.8554553697769,273.6263144947402
abbot,34.81725501862688,174.59636519210625,113.86944282765079,0.0,82.59258934378964,102.83142117499887,147.39798715871038,109.01325438356447,56.54157438910959,656.1606756966049
mary,60.03021507224288,236.678662407146,168.52068140532418,82.59258934378964,0.0,220.31825011514155,241.87344347964302,129.97346322446154,69.00517257156368,855.6482348618497
mary avenel,19.50287505693159,36.05253203084378,35.314153401994595,102.83142117499887,220.31825011514155,0.0,98.72898044514301,114.92844587286382,309.56491446943545,665.4215925954609
halbert glendinning,5.780793899699148,24.237871421141442,93.16987362329006,147.39798715871038,241.87344347964302,98.72898044514301,0.0,128.55324384934528,347.11517537646677,611.680406747237
christie,39.86176690998669,131.2820171091718,51.083880860159205,109.01325438356447,129.97346322446154,114.92844587286382,128.55324384934528,0.0,235.15341942712914,750.8471884509303
eustace,96.07734240801288,309.41145413627305,160.8554553697769,56.54157438910959,69.00517257156368,309.56491446943545,347.11517537646677,235.15341942712914,0.0,1153.2324655469451
murray,384.0165927614425,222.18440768878696,273.6263144947402,656.1606756966049,855.6482348618497,665.4215925954609,611.680406747237,750.8471884509303,1153.2324655469451,0.0
