,halbert,piercie shafton,edward,abbot,mary,mary avenel,halbert glendinning,christie,eustace,murray
halbert,0.0,94.993006711805,81.77556440045207,73.58339370506535,124.86368325216402,44.321768420740135,12.72658230092577,88.09999363528887,205.18723114810555,905.5494517450825
piercie shafton,94.993006711805,0.0,123.92890056898362,372.3594385052068,502.98872514703567,79.15243594789457,53.71411277176237,289.4914829854822,673.8817763973465,525.9423911459761
edward,81.77556440045207,123.92890056898362,0.0,243.41335442709226,357.8174234300322,78.90232982155844,210.57447479826823,113.31945901986198,346.92374798680953,648.3598204084682
abbot,73.58339370506535,372.3594385052068,243.41335442709226,0.0,174.44780595128802,229.65963086548837,327.4505033026453,243.65643115943644,122.68073456009456,1528.0004535799635
mary,124.86368325216402,502.98872514703567,357.8174234300322,174.44780595128802,0.0,482.0059817908543,530.353288033649,288.8441661305216,148.64852959506626,1976.4494459712657
mary avenel,44.321768420740135,79.15243594789457,78.90232982155844,229.65963086548837,482.0059817908543,0.0,219.58626143167305,253.88709567815926,676.9954799425832,1554.574867429004
halbert glendinning,12.72658230092577,53.71411277176237,210.57447479826823,327.4505033026453,530.353288033649,219.58626143167305,0.0,285.1688395069791,758.4343999760849,1433.7051165055498
christie,88.09999363528887,289.4914829854822,113.31945901986198,243.65643115943644,288.8441661305216,253.88709567815926,285.1688395069791,0.0,511.46972404544636,1747.1381680677346
eustace,205.18723114810555,673.8817763973465,346.92374798680953,122.68073456009456,148.64852959506626,676.9954799425832,758.4343999760849,511.46972404544636,0.0,2640.301819279665
murray,905.5494517450825,525.9423911459761,648.3598204084682,1528.0004535799635,1976.4494459712657,1554.574867429004,1433.7051165055498,1747.1381680677346,2640.301819279665,0.0
