,hartley,gray,middlemas,richard,witherington,moncada,menie,richard middlemas,menie gray,lawford
hartley,0.0,128.5417317511515,7.851637376753878,32.15781593458041,2.6219879386814595,86.80950534619699,76.18731610578726,35.619021822932666,21.503433249311165,269.12087608952476
gray,128.5417317511515,0.0,141.5880173147395,28.80943970597938,261.92212888074624,19.61092437344477,17.622434040090674,26.317106368971572,69.92518596337196,3.6369109669738937
middlemas,7.851637376753878,141.5880173147395,0.0,61.882359577082205,115.38917963512132,74.4790298433277,52.150689640023124,29.9983997335971,30.501186407876332,191.0243625359037
richard,32.15781593458041,28.80943970597938,61.882359577082205,0.0,150.16810765400598,57.63390437151342,51.35328697315548,36.11696571215884,114.37469387228491,122.39220243470525
witherington,2.6219879386814595,261.92212888074624,115.38917963512132,150.16810765400598,0.0,365.6540302896178,548.6009975518303,391.4512801071827,531.3505085643361,858.2563613729096
moncada,86.80950534619699,19.61092437344477,74.4790298433277,57.63390437151342,365.6540302896178,0.0,181.34367968160336,200.15556870289703,374.6568264432623,74.34489064847682
menie,76.18731610578726,17.622434040090674,52.150689640023124,51.35328697315548,548.6009975518303,181.34367968160336,0.0,157.0033747640916,216.8521729696754,279.6637999377515
richard middlemas,35.619021822932666,26.317106368971572,29.9983997335971,36.11696571215884,391.4512801071827,200.15556870289703,157.0033747640916,0.0,150.32077356769267,364.216125060763
menie gray,21.503433249311165,69.92518596337196,30.501186407876332,114.37469387228491,531.3505085643361,374.6568264432623,216.8521729696754,150.32077356769267,0.0,772.0038229922517
lawford,269.12087608952476,3.6369109669738937,191.0243625359037,122.39220243470525,858.2563613729096,74.34489064847682,279.6637999377515,364.216125060763,772.0038229922517,0.0
