,hartley,gray,middlemas,richard,witherington,moncada,menie,richard middlemas,menie gray,lawford
hartley,0.0,67.5809738533015,3.9265446332255025,15.76945231562523,1.1561182764767415,40.7384832374597,35.645384901168846,16.312255232662988,9.575370157500954,123.78296614034836
gray,67.5809738533015,0.0,70.5562480325882,13.811108052387064,117.05549499418039,8.64001504832052,8.139813443834315,11.381465383751907,29.714451186340316,1.6690711835808585
middlemas,3.9265446332255025,70.5562480325882,0.0,30.001556325346286,50.67457774772283,34.97197281894881,24.293282492232645,13.546816843005328,13.250736860382116,88.33007727864747
richard,15.76945231562523,13.811108052387064,30.001556325346286,0.0,67.06686607827906,26.679825745256917,23.421944631390957,15.65008278102126,48.72057186586401,56.87702239956405
witherington,1.1561182764767415,117.05549499418039,50.67457774772283,67.06686607827906,0.0,166.29249942092713,245.43739285760145,172.94373327913368,229.05989635443376,381.8246195611212
moncada,40.7384832374597,8.64001504832052,34.97197281894881,26.679825745256917,166.29249942092713,0.0,82.29218640316901,89.46768046499717,163.62810879024303,34.29106212816065
menie,35.645384901168846,8.139813443834315,24.293282492232645,23.421944631390957,245.43739285760145,82.29218640316901,0.0,70.47216040026557,94.10448729119281,128.79490581768553
richard middlemas,16.312255232662988,11.381465383751907,13.546816843005328,15.65008278102126,172.94373327913368,89.46768046499717,70.47216040026557,0.0,65.3414045748931,165.2481420619125
menie gray,9.575370157500954,29.714451186340316,13.250736860382116,48.72057186586401,229.05989635443376,163.62810879024303,94.10448729119281,65.3414045748931,0.0,343.0184807150432
lawford,123.78296614034836,1.6690711835808585,88.33007727864747,56.87702239956405,381.8246195611212,34.29106212816065,128.79490581768553,165.2481420619125,343.0184807150432,0.0
