,hartley,gray,middlemas,richard,witherington,moncada,menie,richard middlemas,menie gray,lawford
hartley,0.0,242.25785565689145,15.559377911344528,64.9499481576959,5.887187558672765,183.22165486893405,161.3876810135354,77.04708619920312,47.873698647211754,579.4190995276736
gray,242.25785565689145,0.0,281.4871145645688,59.524782785653024,580.3573961351427,44.10624557623883,37.887016175951764,60.29211698229414,163.10448971873626,7.854119963868352
middlemas,15.559377911344528,281.4871145645688,0.0,126.42080399838161,260.13138097318495,157.15967137981923,111.03026285484823,65.82094234590296,69.63691827935912,409.1350753735859
richard,64.9499481576959,59.524782785653024,126.42080399838161,0.0,332.92041684003186,123.41375181866921,111.75851087910931,82.58807146154062,266.12138904362894,260.8289611310258
witherington,5.887187558672765,580.3573961351427,260.13138097318495,332.92041684003186,0.0,796.5394541453264,1215.226759668068,877.730529582069,1221.0569412345378,1911.4063264864965
moncada,183.22165486893405,44.10624557623883,157.15967137981923,123.41375181866921,796.5394541453264,0.0,396.35983349159335,443.8315755824962,850.3142506132305,159.66702191356174
menie,161.3876810135354,37.887016175951764,111.03026285484823,111.75851087910931,1215.226759668068,396.35983349159335,0.0,346.85106694995835,495.15382735482586,601.8803605643975
richard middlemas,77.04708619920312,60.29211698229414,65.82094234590296,82.58807146154062,877.730529582069,443.8315755824962,346.85106694995835,0.0,342.75170136708783,795.2668825335405
menie gray,47.873698647211754,163.10448971873626,69.63691827935912,266.12138904362894,1221.0569412345378,850.3142506132305,495.15382735482586,342.75170136708783,0.0,1722.3762163862955
lawford,579.4190995276736,7.854119963868352,409.1350753735859,260.8289611310258,1911.4063264864965,159.66702191356174,601.8803605643975,795.2668825335405,1722.3762163862955,0.0
