,everard,alice,wildrake,cromwell,albert,henry,joceline,rochecliffe,charles,pearson
everard,0.0,34.00268483064901,8.657244999057292,58.868892582701044,86.74833849103814,37.273237569991856,38.82832334776541,35.15114232256361,27.995399366211135,146.67214357121458
alice,34.00268483064901,0.0,86.13109905070911,102.88742098976643,42.28219415413935,11.890763515274722,11.128582354647818,20.82720765465654,7.228876436898041,197.30652987773522
wildrake,8.657244999057292,86.13109905070911,0.0,148.2812012716438,142.2643161470276,72.79365148355907,73.25632327352808,135.6192118291765,91.76865928786096,319.1798766721299
cromwell,58.868892582701044,102.88742098976643,148.2812012716438,0.0,219.35426747618413,152.03926335090742,158.68561249829145,135.61006224524942,192.8968486795658,5.37988893792666
albert,86.74833849103814,42.28219415413935,142.2643161470276,219.35426747618413,0.0,124.06102052510151,147.9955393833994,107.5832310930131,90.10922254915245,320.3316881032365
henry,37.273237569991856,11.890763515274722,72.79365148355907,152.03926335090742,124.06102052510151,0.0,39.7603516854862,106.69780864573457,107.61027175622553,346.96324256179497
joceline,38.82832334776541,11.128582354647818,73.25632327352808,158.68561249829145,147.9955393833994,39.7603516854862,0.0,250.98770136532667,213.6936247620549,477.96418636476045
rochecliffe,35.15114232256361,20.82720765465654,135.6192118291765,135.61006224524942,107.5832310930131,106.69780864573457,250.98770136532667,0.0,80.92900633556633,237.63088565404513
charles,27.995399366211135,7.228876436898041,91.76865928786096,192.8968486795658,90.10922254915245,107.61027175622553,213.6936247620549,80.92900633556633,0.0,312.91098374139614
pearson,146.67214357121458,197.30652987773522,319.1798766721299,5.37988893792666,320.3316881032365,346.96324256179497,477.96418636476045,237.63088565404513,312.91098374139614,0.0
