,everard,alice,wildrake,cromwell,albert,henry,joceline,rochecliffe,charles,pearson
everard,0.0,16.95542582128757,4.313650752197331,26.928651833153584,39.00906295153821,17.412360039179177,18.000719755061127,15.841872426773858,12.453291094538903,62.45606139651821
alice,16.95542582128757,0.0,42.86796299199539,48.03652287175716,19.07559507815943,5.496984913480298,5.16258242383957,9.434045947197534,3.2662992354247806,84.46234443912107
wildrake,4.313650752197331,42.86796299199539,0.0,68.80997668920756,65.20629190974292,34.237615549451114,34.05060098569259,61.35064561859789,41.19152351771706,137.04091634554797
cromwell,26.928651833153584,48.03652287175716,68.80997668920756,0.0,98.50974914378851,70.39772408436868,73.29247186578385,60.429144675275865,84.62751956267695,2.2787691984384493
albert,39.00906295153821,19.07559507815943,65.20629190974292,98.50974914378851,0.0,57.9964462868563,68.30186992448877,48.27430493832017,39.91172248056957,138.33407762773285
henry,17.412360039179177,5.496984913480298,34.237615549451114,70.39772408436868,57.9964462868563,0.0,18.18344052086467,47.65657321897643,47.85652661841298,149.70436325252643
joceline,18.000719755061127,5.16258242383957,34.05060098569259,73.29247186578385,68.30186992448877,18.18344052086467,0.0,113.68220764558464,97.12524307260774,207.57867049498387
rochecliffe,15.841872426773858,9.434045947197534,61.35064561859789,60.429144675275865,48.27430493832017,47.65657321897643,113.68220764558464,0.0,36.18336178908072,102.90213565447723
charles,12.453291094538903,3.2662992354247806,41.19152351771706,84.62751956267695,39.91172248056957,47.85652661841298,97.12524307260774,36.18336178908072,0.0,134.7006020368377
pearson,62.45606139651821,84.46234443912107,137.04091634554797,2.2787691984384493,138.33407762773285,149.70436325252643,207.57867049498387,102.90213565447723,134.7006020368377,0.0
