,scrooge,bob,marley,cratchit,tiny tim,joe,peter,fezziwig,martha,bob cratchit
scrooge,0.0,0.019040074591659132,0.0013807200108147974,0.018106605934619886,0.01039046963462613,0.03567068444009571,0.012092030885165642,0.010977544741715316,0.017493234051171692,0.003085739257352457
bob,0.019040074591659132,0.0,0.5173548536247239,0.003390129752068361,0.0023547191926979313,0.08527478627181144,0.00514954866356929,0.18253803591811787,0.0049296343936014834,0.0023318813630698746
marley,0.0013807200108147974,0.5173548536247239,0.0,0.4710353122228433,0.47594644989140383,0.5926237775377908,0.5149218621700774,0.18269698460067763,0.324091894649142,0.4015486036559654
cratchit,0.018106605934619886,0.003390129752068361,0.4710353122228433,0.0,0.019315995604303034,0.16127656660698636,0.035400538164653876,0.18545937578961508,0.004929350324072993,0.013395657212386202
tiny tim,0.01039046963462613,0.0023547191926979313,0.47594644989140383,0.019315995604303034,0.0,0.17350748360324203,0.04368549519379608,0.20007205340219114,0.008123588274538022,0.005105287308874042
joe,0.03567068444009571,0.08527478627181144,0.5926237775377908,0.16127656660698636,0.17350748360324203,0.0,0.12043475513426743,0.43914574455512606,0.2520577179580933,0.18400772198745247
peter,0.012092030885165642,0.00514954866356929,0.5149218621700774,0.035400538164653876,0.04368549519379608,0.12043475513426743,0.0,0.3311046208398336,0.09780114658613413,0.029740255304282925
fezziwig,0.010977544741715316,0.18253803591811787,0.18269698460067763,0.18545937578961508,0.20007205340219114,0.43914574455512606,0.3311046208398336,0.0,0.18128954829145194,0.3282313056946496
martha,0.017493234051171692,0.0049296343936014834,0.324091894649142,0.004929350324072993,0.008123588274538022,0.2520577179580933,0.09780114658613413,0.18128954829145194,0.0,0.1187221221690367
bob cratchit,0.003085739257352457,0.0023318813630698746,0.4015486036559654,0.013395657212386202,0.005105287308874042,0.18400772198745247,0.029740255304282925,0.3282313056946496,0.1187221221690367,0.0
