,scrooge,bob,marley,cratchit,tiny tim,joe,peter,fezziwig,martha,bob cratchit
scrooge,0.0,0.02031070105855572,0.00113499575781893,0.018967788780807474,0.010913956544488236,0.038379869481943704,0.012916662942244465,0.010911709912533414,0.01808774719873099,0.003228845076999353
bob,0.02031070105855572,0.0,0.5094329618189893,0.0035404654345589826,0.0024951010545632545,0.09225385750592671,0.005458274367926959,0.1852661294724211,0.0051022017137573985,0.002470385933019672
marley,0.00113499575781893,0.5094329618189893,0.0,0.46440478539879815,0.476042666052799,0.601793722036238,0.5204185887770006,0.17556660044926398,0.3236192571378745,0.4059707856410935
cratchit,0.018967788780807474,0.0035404654345589826,0.46440478539879815,0.0,0.02063092619258064,0.17152291381502596,0.03752027528174587,0.18829225995377744,0.005105274763317569,0.014491170021774942
tiny tim,0.010913956544488236,0.0024951010545632545,0.476042666052799,0.02063092619258064,0.0,0.1850397179489837,0.0466000176798854,0.2034543007530345,0.00841649971834014,0.005418724376882218
joe,0.038379869481943704,0.09225385750592671,0.601793722036238,0.17152291381502596,0.1850397179489837,0.0,0.12869505058970993,0.45628684764266647,0.2662244288428922,0.1962969030780337
peter,0.012916662942244465,0.005458274367926959,0.5204185887770006,0.03752027528174587,0.0466000176798854,0.12869505058970993,0.0,0.34186358854402166,0.10278362644262742,0.031731675357595544
fezziwig,0.010911709912533414,0.1852661294724211,0.17556660044926398,0.18829225995377744,0.2034543007530345,0.45628684764266647,0.34186358854402166,0.0,0.1841376912008448,0.3397857567985828
martha,0.01808774719873099,0.0051022017137573985,0.3236192571378745,0.005105274763317569,0.00841649971834014,0.2662244288428922,0.10278362644262742,0.1841376912008448,0.0,0.12573717758128614
bob cratchit,0.003228845076999353,0.002470385933019672,0.4059707856410935,0.014491170021774942,0.005418724376882218,0.1962969030780337,0.031731675357595544,0.3397857567985828,0.12573717758128614,0.0
