,lorry,pross,manette,lucie,cruncher,defarge,stryver,jerry,darnay,madame defarge
lorry,0.0,0.028550795483663974,0.0048364214139608695,0.0057135459296304225,0.027315314253123984,0.01860769114163713,0.020801812088800418,0.01550683141174331,0.007957085961058211,0.03241557643026656
pross,0.028550795483663974,0.0,0.12474454272866153,0.056064418575531044,0.036800368414374146,0.1090937305196722,0.1306645200392091,0.1304750289359285,0.04027784051086501,0.02814364913462338
manette,0.0048364214139608695,0.12474454272866153,0.0,0.09502363898370807,0.10072693171726994,0.053447196649297625,0.05304429267909837,0.04796286308735533,0.030629475376428184,0.06129257094883103
lucie,0.0057135459296304225,0.056064418575531044,0.09502363898370807,0.0,0.10928551482107395,0.0673886412624685,0.16799979893785255,0.19681488405467187,0.047901126971078976,0.07156824767402886
cruncher,0.027315314253123984,0.036800368414374146,0.10072693171726994,0.10928551482107395,0.0,0.10096504702327778,0.176737161554316,0.17590120679541524,0.09254424498523538,0.03171224739406499
defarge,0.01860769114163713,0.1090937305196722,0.053447196649297625,0.0673886412624685,0.10096504702327778,0.0,0.1667812043675503,0.1561508546251535,0.08068916755133392,0.0558715361958214
stryver,0.020801812088800418,0.1306645200392091,0.05304429267909837,0.16799979893785255,0.176737161554316,0.1667812043675503,0.0,0.12296956585443077,0.11165536221776953,0.2907732424743439
jerry,0.01550683141174331,0.1304750289359285,0.04796286308735533,0.19681488405467187,0.17590120679541524,0.1561508546251535,0.12296956585443077,0.0,0.14404166228917217,0.23152832763505948
darnay,0.007957085961058211,0.04027784051086501,0.030629475376428184,0.047901126971078976,0.09254424498523538,0.08068916755133392,0.11165536221776953,0.14404166228917217,0.0,0.12574450123845635
madame defarge,0.03241557643026656,0.02814364913462338,0.06129257094883103,0.07156824767402886,0.03171224739406499,0.0558715361958214,0.2907732424743439,0.23152832763505948,0.12574450123845635,0.0
