,lorry,pross,manette,lucie,cruncher,defarge,stryver,jerry,darnay,madame defarge
lorry,0.0,0.026774826071316017,0.004771409381319782,0.0054325251482557745,0.026184684903600715,0.01791726494322266,0.020752503134278816,0.016450327408748067,0.007788136978626737,0.030390511569758565
pross,0.026774826071316017,0.0,0.12136818782486855,0.052655728473608034,0.036477532335655954,0.10514805106180401,0.12772206454907076,0.133036367285815,0.03929385440975953,0.027561211473036997
manette,0.004771409381319782,0.12136818782486855,0.0,0.09196417471068759,0.09634554519446309,0.052352111313098804,0.05232837675003821,0.050090784562436895,0.02961552584379596,0.057577520541328066
lucie,0.0054325251482557745,0.052655728473608034,0.09196417471068759,0.0,0.10482682107005649,0.06560630875423061,0.1637205203717699,0.19836813126447733,0.047144442655641036,0.06820337458330238
cruncher,0.026184684903600715,0.036477532335655954,0.09634554519446309,0.10482682107005649,0.0,0.09591371332366899,0.1715503921500389,0.17628373193475916,0.09050803552597722,0.030580636902880695
defarge,0.01791726494322266,0.10514805106180401,0.052352111313098804,0.06560630875423061,0.09591371332366899,0.0,0.16421473782445836,0.15806149903809105,0.07972394768299956,0.0521034965743882
stryver,0.020752503134278816,0.12772206454907076,0.05232837675003821,0.1637205203717699,0.1715503921500389,0.16421473782445836,0.0,0.1258921275708497,0.1082173051729586,0.2784467614290605
jerry,0.016450327408748067,0.133036367285815,0.050090784562436895,0.19836813126447733,0.17628373193475916,0.15806149903809105,0.1258921275708497,0.0,0.14578303582976482,0.22259434156163696
darnay,0.007788136978626737,0.03929385440975953,0.02961552584379596,0.047144442655641036,0.09050803552597722,0.07972394768299956,0.1082173051729586,0.14578303582976482,0.0,0.11934709247823874
madame defarge,0.030390511569758565,0.027561211473036997,0.057577520541328066,0.06820337458330238,0.030580636902880695,0.0521034965743882,0.2784467614290605,0.22259434156163696,0.11934709247823874,0.0
