,lorry,pross,manette,lucie,cruncher,defarge,stryver,jerry,darnay,madame defarge
lorry,0.0,0.030180387703612924,0.004863028692218547,0.00595304166797967,0.028263947710410915,0.019144014883785726,0.020651933378972188,0.014541712968763184,0.00805946794386895,0.03428850381390532
pross,0.030180387703612924,0.0,0.12719379584935583,0.05914011219778696,0.036810752215411524,0.11223149088836434,0.1324426534821272,0.12705664993074137,0.04093071679872312,0.02853227857027446
manette,0.004863028692218547,0.12719379584935583,0.0,0.09728657002722603,0.10441068839605365,0.054136287476822115,0.05327611071705335,0.045636105958381745,0.031407457316440644,0.06473113108976354
lucie,0.00595304166797967,0.05914011219778696,0.09728657002722603,0.0,0.11296277048333216,0.06863403580460803,0.1707708777522393,0.1938402632790276,0.04823056284037787,0.07452333747594209
cruncher,0.028263947710410915,0.036810752215411524,0.10441068839605365,0.11296277048333216,0.0,0.10536898085281503,0.18049136960838713,0.1743443714921738,0.09382756224559757,0.0326442952930437
defarge,0.019144014883785726,0.11223149088836434,0.054136287476822115,0.06863403580460803,0.10536898085281503,0.0,0.16787513405137972,0.15317818575473743,0.0809948050534983,0.05940377937176383
stryver,0.020651933378972188,0.1324426534821272,0.05327611071705335,0.1707708777522393,0.18049136960838713,0.16787513405137972,0.0,0.11926702814903588,0.11413168578169834,0.30103130231624353
jerry,0.014541712968763184,0.12705664993074137,0.045636105958381745,0.1938402632790276,0.1743443714921738,0.15317818575473743,0.11926702814903588,0.0,0.1413231781562604,0.23888109757931486
darnay,0.00805946794386895,0.04093071679872312,0.031407457316440644,0.04823056284037787,0.09382756224559757,0.0809948050534983,0.11413168578169834,0.1413231781562604,0.0,0.1314014613427146
madame defarge,0.03428850381390532,0.02853227857027446,0.06473113108976354,0.07452333747594209,0.0326442952930437,0.05940377937176383,0.30103130231624353,0.23888109757931486,0.1314014613427146,0.0
