,hugh,barnaby,john,joe,haredale,dolly,dennis,miggs,tappertit,chester
hugh,0.0,0.0426346409832094,0.03122679044631307,0.09704077603532928,0.0221083982871221,0.031749725825904976,0.002795206012713492,0.02662817871820805,0.01755374737801011,0.028775509265700154
barnaby,0.0426346409832094,0.0,0.04889698087407067,0.07714374846986957,0.04164748181965462,0.06241336051508175,0.025584521422052586,0.018941770551844223,0.030310352941369564,0.09789760731675334
john,0.03122679044631307,0.04889698087407067,0.0,0.0768832610125695,0.0251046517652626,0.05816757684536117,0.0851278935661607,0.0268546037294624,0.027996479190858275,0.05960796692114929
joe,0.09704077603532928,0.07714374846986957,0.0768832610125695,0.0,0.07607672098961016,0.030849177003381672,0.16548559831921605,0.03757982127374624,0.05302356016972601,0.030939593335481574
haredale,0.0221083982871221,0.04164748181965462,0.0251046517652626,0.07607672098961016,0.0,0.04679951366741222,0.10896207055107363,0.026452508751711755,0.029475000200992432,0.034636520226711286
dolly,0.031749725825904976,0.06241336051508175,0.05816757684536117,0.030849177003381672,0.04679951366741222,0.0,0.13132112102752758,0.025764745509627804,0.044827604615245195,0.04579099796139816
dennis,0.002795206012713492,0.025584521422052586,0.0851278935661607,0.16548559831921605,0.10896207055107363,0.13132112102752758,0.0,0.1255472658258047,0.19887539761039122,0.2817342888373231
miggs,0.02662817871820805,0.018941770551844223,0.0268546037294624,0.03757982127374624,0.026452508751711755,0.025764745509627804,0.1255472658258047,0.0,0.05542083000758647,0.14497094477901348
tappertit,0.01755374737801011,0.030310352941369564,0.027996479190858275,0.05302356016972601,0.029475000200992432,0.044827604615245195,0.19887539761039122,0.05542083000758647,0.0,0.09384787689951855
chester,0.028775509265700154,0.09789760731675334,0.05960796692114929,0.030939593335481574,0.034636520226711286,0.04579099796139816,0.2817342888373231,0.14497094477901348,0.09384787689951855,0.0
