,hugh,barnaby,john,joe,haredale,dolly,dennis,miggs,tappertit,chester
hugh,0.0,0.04210350775525302,0.030482962361714206,0.09308201877365058,0.022258374438572728,0.0321461713290504,0.0031516140982088764,0.02584174676923851,0.015567286641927646,0.0277536923456143
barnaby,0.04210350775525302,0.0,0.050682006248604715,0.07612483567990365,0.04308071607387495,0.06089882954862009,0.028615172102048763,0.019080794360501464,0.02948942926477248,0.09775683382227977
john,0.030482962361714206,0.050682006248604715,0.0,0.07533402921886966,0.02645759539668726,0.058784156841421284,0.09371610998087522,0.027510768377183286,0.02703083247976767,0.059394697379971835
joe,0.09308201877365058,0.07612483567990365,0.07533402921886966,0.0,0.07780473404963793,0.03154597789484594,0.17505596020854103,0.03821016754115843,0.05235311328480886,0.029732692516729803
haredale,0.022258374438572728,0.04308071607387495,0.02645759539668726,0.07780473404963793,0.0,0.047382460247033575,0.11821569961676208,0.025969302298291776,0.02781718307603512,0.034194625409571175
dolly,0.0321461713290504,0.06089882954862009,0.058784156841421284,0.03154597789484594,0.047382460247033575,0.0,0.13888019276249441,0.025050012243144678,0.043105019335276315,0.043160230467275476
dennis,0.0031516140982088764,0.028615172102048763,0.09371610998087522,0.17505596020854103,0.11821569961676208,0.13888019276249441,0.0,0.12705103418794314,0.20075412376587579,0.2893031663769532
miggs,0.02584174676923851,0.019080794360501464,0.027510768377183286,0.03821016754115843,0.025969302298291776,0.025050012243144678,0.12705103418794314,0.0,0.0573489499677494,0.14648772644097266
tappertit,0.015567286641927646,0.02948942926477248,0.02703083247976767,0.05235311328480886,0.02781718307603512,0.043105019335276315,0.20075412376587579,0.0573489499677494,0.0,0.09187269540904036
chester,0.0277536923456143,0.09775683382227977,0.059394697379971835,0.029732692516729803,0.034194625409571175,0.043160230467275476,0.2893031663769532,0.14648772644097266,0.09187269540904036,0.0
