,richard,george,jarndyce,guppy,snagsby,bucket,tulkinghorn,charley,ada,bagnet
richard,0.0,0.079162498928253,0.0344277509327922,0.04337098455855164,0.04819703247551818,0.10836836963714831,0.031220421447410437,0.059325481810073716,0.0024371329653389835,0.05634692981208374
george,0.079162498928253,0.0,0.20405436525533993,0.07530980141199199,0.08536165818989631,0.08637074026532897,0.07316063357187216,0.04628415116232637,0.11180067445489163,0.008129816269975288
jarndyce,0.0344277509327922,0.20405436525533993,0.0,0.09419546737476593,0.08931576382460787,0.2903328045440345,0.05656837682571101,0.12331721190215005,0.008209278835558985,0.14902656391303118
guppy,0.04337098455855164,0.07530980141199199,0.09419546737476593,0.0,0.054150255452436805,0.23392761586992022,0.05668317825065112,0.04572662604100692,0.05950727428273585,0.08532817334116122
snagsby,0.04819703247551818,0.08536165818989631,0.08931576382460787,0.054150255452436805,0.0,0.32010083510565923,0.04995480675900883,0.07927382512877679,0.05495921192638555,0.14239554419004166
bucket,0.10836836963714831,0.08637074026532897,0.2903328045440345,0.23392761586992022,0.32010083510565923,0.0,0.32163843461393726,0.2458619303942893,0.3540674323346381,0.10186520914980571
tulkinghorn,0.031220421447410437,0.07316063357187216,0.05656837682571101,0.05668317825065112,0.04995480675900883,0.32163843461393726,0.0,0.09656543905441567,0.06679092731081473,0.0980355991618585
charley,0.059325481810073716,0.04628415116232637,0.12331721190215005,0.04572662604100692,0.07927382512877679,0.2458619303942893,0.09656543905441567,0.0,0.16186097653261597,0.10816123739998229
ada,0.0024371329653389835,0.11180067445489163,0.008209278835558985,0.05950727428273585,0.05495921192638555,0.3540674323346381,0.06679092731081473,0.16186097653261597,0.0,0.22449043294982599
bagnet,0.05634692981208374,0.008129816269975288,0.14902656391303118,0.08532817334116122,0.14239554419004166,0.10186520914980571,0.0980355991618585,0.10816123739998229,0.22449043294982599,0.0
