,richard,george,jarndyce,guppy,snagsby,bucket,tulkinghorn,charley,ada,bagnet
richard,0.0,0.07711607983649081,0.036537120537761175,0.04217600589934016,0.04755777272066009,0.10074987207543472,0.030935832358444847,0.05679703324987752,0.0025013837275806123,0.052753486564087924
george,0.07711607983649081,0.0,0.20631296611139952,0.0741019186356082,0.0845971994059254,0.0803837256247154,0.07301059301869062,0.044572929785542656,0.11361144057801568,0.007609709485417986
jarndyce,0.036537120537761175,0.20631296611139952,0.0,0.09488947584777162,0.08917854566806675,0.27876402470914274,0.05517813452086419,0.11955029573475431,0.008222548078844445,0.14246463152125652
guppy,0.04217600589934016,0.0741019186356082,0.09488947584777162,0.0,0.05350236793618071,0.22032984472247938,0.055844360635780216,0.04369741925708758,0.06050421555166882,0.08013811157897466
snagsby,0.04755777272066009,0.0845971994059254,0.08917854566806675,0.05350236793618071,0.0,0.30433154750070585,0.049326670741866835,0.07660580774793074,0.05635134950141578,0.13587387675034196
bucket,0.10074987207543472,0.0803837256247154,0.27876402470914274,0.22032984472247938,0.30433154750070585,0.0,0.3084392673531296,0.23169593294025964,0.34388048176152014,0.0952884430747562
tulkinghorn,0.030935832358444847,0.07301059301869062,0.05517813452086419,0.055844360635780216,0.049326670741866835,0.3084392673531296,0.0,0.09393282745568465,0.06778509683813234,0.09386075821590463
charley,0.05679703324987752,0.044572929785542656,0.11955029573475431,0.04369741925708758,0.07660580774793074,0.23169593294025964,0.09393282745568465,0.0,0.16241323590859116,0.10206045287700659
ada,0.0025013837275806123,0.11361144057801568,0.008222548078844445,0.06050421555166882,0.05635134950141578,0.34388048176152014,0.06778509683813234,0.16241323590859116,0.0,0.21920756901274183
bagnet,0.052753486564087924,0.007609709485417986,0.14246463152125652,0.08013811157897466,0.13587387675034196,0.0952884430747562,0.09386075821590463,0.10206045287700659,0.21920756901274183,0.0
