,richard,george,jarndyce,guppy,snagsby,bucket,tulkinghorn,charley,ada,bagnet
richard,0.0,0.08055350825779155,0.0322881542376366,0.044208421123829784,0.048414954999142314,0.11542514467799783,0.031318115504399974,0.06136875456266884,0.0023593485605775464,0.059602862532803134
george,0.08055350825779155,0.0,0.20043488020125777,0.07588509306815465,0.08534974952987304,0.091898215786885,0.07276827457367342,0.04760331133076487,0.10914059497094808,0.008601050829066047
jarndyce,0.0322881542376366,0.20043488020125777,0.0,0.09277100632439568,0.0887653771777083,0.2997846366238388,0.05758562717832254,0.12606485998485623,0.008146629559654032,0.15445830303806204
guppy,0.044208421123829784,0.07588509306815465,0.09277100632439568,0.0,0.05435606562643446,0.2460008308913637,0.05715325200791842,0.0474045067858978,0.05810711290577776,0.08997613036881968
snagsby,0.048414954999142314,0.08534974952987304,0.0887653771777083,0.05435606562643446,0.0,0.3335872496357698,0.050238788431218706,0.0812575938188365,0.053231265732743116,0.14779720428684198
bucket,0.11542514467799783,0.091898215786885,0.2997846366238388,0.2460008308913637,0.3335872496357698,0.0,0.3327041107577003,0.2583999953842773,0.361736137164347,0.10783666318780313
tulkinghorn,0.031318115504399974,0.07276827457367342,0.05758562717832254,0.05715325200791842,0.050238788431218706,0.3327041107577003,0.0,0.09838048566063788,0.06540697915296644,0.10143849291195028
charley,0.06136875456266884,0.04760331133076487,0.12606485998485623,0.0474045067858978,0.0812575938188365,0.2583999953842773,0.09838048566063788,0.0,0.16003380959953398,0.11350823024768453
ada,0.0023593485605775464,0.10914059497094808,0.008146629559654032,0.05810711290577776,0.053231265732743116,0.361736137164347,0.06540697915296644,0.16003380959953398,0.0,0.22794657366447588
bagnet,0.059602862532803134,0.008601050829066047,0.15445830303806204,0.08997613036881968,0.14779720428684198,0.10783666318780313,0.10143849291195028,0.11350823024768453,0.22794657366447588,0.0
