,micawber,peggotty,dora,copperfield,agnes,traddles,murdstone,dick,steerforth,wickfield
micawber,0.0,0.14732297479175005,0.07271522793212912,0.02610789131122477,0.032266896158917514,0.012980247476450308,0.07916034151327908,0.02043406471253446,0.04030077321359321,0.020585011348577723
peggotty,0.14732297479175005,0.0,0.22831765628156564,0.07362278781796465,0.12425604170675764,0.08809456592877599,0.016048576507285577,0.04449502828397658,0.017679504472602914,0.04951433828703675
dora,0.07271522793212912,0.22831765628156564,0.0,0.1221066743785195,0.07893610778798961,0.05127946655353033,0.3614803914883504,0.09220540292018678,0.1896205951318636,0.08453138055573464
copperfield,0.02610789131122477,0.07362278781796465,0.1221066743785195,0.0,0.04153834366850387,0.029362457207644473,0.1671323827213125,0.04265754019605951,0.027861927589503753,0.016997090221342756
agnes,0.032266896158917514,0.12425604170675764,0.07893610778798961,0.04153834366850387,0.0,0.02756383559457332,0.2866734076499041,0.05290895657330443,0.07398968071822011,0.019458619710306022
traddles,0.012980247476450308,0.08809456592877599,0.05127946655353033,0.029362457207644473,0.02756383559457332,0.0,0.46745354626739877,0.1570935019756382,0.19434813997327394,0.07922527806826014
murdstone,0.07916034151327908,0.016048576507285577,0.3614803914883504,0.1671323827213125,0.2866734076499041,0.46745354626739877,0.0,0.2154752086238493,0.07746511462989078,0.1797007061346641
dick,0.02043406471253446,0.04449502828397658,0.09220540292018678,0.04265754019605951,0.05290895657330443,0.1570935019756382,0.2154752086238493,0.0,0.09109109977051752,0.026113298111621448
steerforth,0.04030077321359321,0.017679504472602914,0.1896205951318636,0.027861927589503753,0.07398968071822011,0.19434813997327394,0.07746511462989078,0.09109109977051752,0.0,0.13934043132473287
wickfield,0.020585011348577723,0.04951433828703675,0.08453138055573464,0.016997090221342756,0.019458619710306022,0.07922527806826014,0.1797007061346641,0.026113298111621448,0.13934043132473287,0.0
