,joe,herbert,estella,jaggers,biddy,wemmick,pip,havisham,pumblechook,wopsle
joe,0.0,0.1374799662553774,0.07817534576577945,0.0645495047126044,0.009920456302831202,0.07907744340989076,0.03278877585899026,0.026305014880377734,0.0033754214520796758,0.007519437836315328
herbert,0.1374799662553774,0.0,0.10084556429270011,0.051654874176540445,0.17466153498761577,0.022036988421986026,0.06592221291745785,0.12401450955817096,0.22023952982901507,0.197972693298129
estella,0.07817534576577945,0.10084556429270011,0.0,0.07275582849154798,0.10281121335049954,0.06280020074535031,0.024291557823932237,0.020231082617469337,0.08787136072962302,0.053234353344762626
jaggers,0.0645495047126044,0.051654874176540445,0.07275582849154798,0.0,0.14073831047549817,0.026199492132486457,0.040617443740993874,0.074468326891391,0.15461656930590031,0.11654682643695759
biddy,0.009920456302831202,0.17466153498761577,0.10281121335049954,0.14073831047549817,0.0,0.17815170917024473,0.08091232947253521,0.07645411295995817,0.049172341880675645,0.06426283985128192
wemmick,0.07907744340989076,0.022036988421986026,0.06280020074535031,0.026199492132486457,0.17815170917024473,0.0,0.05879707296909472,0.11417439825492821,0.20416570640422907,0.17412551074914814
pip,0.03278877585899026,0.06592221291745785,0.024291557823932237,0.040617443740993874,0.08091232947253521,0.05879707296909472,0.0,0.057866974511523214,0.09339521280310005,0.06443858935101342
havisham,0.026305014880377734,0.12401450955817096,0.020231082617469337,0.074468326891391,0.07645411295995817,0.11417439825492821,0.057866974511523214,0.0,0.05569205153378211,0.03623588413664203
pumblechook,0.0033754214520796758,0.22023952982901507,0.08787136072962302,0.15461656930590031,0.049172341880675645,0.20416570640422907,0.09339521280310005,0.05569205153378211,0.0,0.04570294136166506
wopsle,0.007519437836315328,0.197972693298129,0.053234353344762626,0.11654682643695759,0.06426283985128192,0.17412551074914814,0.06443858935101342,0.03623588413664203,0.04570294136166506,0.0
