,bounderby,sparsit,louisa,gradgrind,tom,rachael,stephen,sissy,harthouse,bitzer
bounderby,0.0,0.01596549046669475,0.011643576737038282,0.016290488970920124,0.008597839284686444,0.019415603043001696,0.01611173940235559,0.013409393992901062,0.0022578384743460896,0.009436013141804324
sparsit,0.01596549046669475,0.0,0.05917126433505987,0.14912186981388872,0.03242390848973664,0.07396914104130208,0.07103097200819126,0.05140933449918444,0.023269086661697958,0.008656802847051769
louisa,0.011643576737038282,0.05917126433505987,0.0,0.08929836888947465,0.03873315705894486,0.0451510130410113,0.066983285640818,0.010641369076325756,0.04773847159331838,0.025115663274037886
gradgrind,0.016290488970920124,0.14912186981388872,0.08929836888947465,0.0,0.10040817687087142,0.06432442703167872,0.12627185265942623,0.021732199111466566,0.10689054228427675,0.017523664353442815
tom,0.008597839284686444,0.03242390848973664,0.03873315705894486,0.10040817687087142,0.0,0.1008953926882607,0.05514237634157933,0.08580168932342305,0.006055581506452215,0.032006559688475225
rachael,0.019415603043001696,0.07396914104130208,0.0451510130410113,0.06432442703167872,0.1008953926882607,0.0,0.12591402094061543,0.06301875667070582,0.1106111921702838,0.09241953718364078
stephen,0.01611173940235559,0.07103097200819126,0.066983285640818,0.12627185265942623,0.05514237634157933,0.12591402094061543,0.0,0.15786436263028678,0.0660777169539599,0.09086431491696
sissy,0.013409393992901062,0.05140933449918444,0.010641369076325756,0.021732199111466566,0.08580168932342305,0.06301875667070582,0.15786436263028678,0.0,0.19386292348113632,0.07660082621707419
harthouse,0.0022578384743460896,0.023269086661697958,0.04773847159331838,0.10689054228427675,0.006055581506452215,0.1106111921702838,0.0660777169539599,0.19386292348113632,0.0,0.13281880134737753
bitzer,0.009436013141804324,0.008656802847051769,0.025115663274037886,0.017523664353442815,0.032006559688475225,0.09241953718364078,0.09086431491696,0.07660082621707419,0.13281880134737753,0.0
