,clennam,dorrit,arthur,pancks,meagles,merdle,amy,little dorrit,flintwinch,maggy
clennam,0.0,0.08051925070186448,0.028692153479086067,0.015159001324411139,0.015106571651707932,0.023234179301390632,0.01917037946644538,0.008168972762738928,0.015898338644933417,0.006822524633705683
dorrit,0.08051925070186448,0.0,0.14375340034873177,0.1043443807097701,0.21491344225790415,0.028466543377065633,0.0366192305468169,0.09920871936604078,0.07443104792355847,0.13752763364993448
arthur,0.028692153479086067,0.14375340034873177,0.0,0.07380184664053899,0.05912568549666452,0.03352679178901533,0.036417487005816034,0.017559872793301623,0.019495873154633067,0.022368469692322587
pancks,0.015159001324411139,0.1043443807097701,0.07380184664053899,0.0,0.09283970145958072,0.03633699483304747,0.04784991964518544,0.040212579029620284,0.03946837941521599,0.036367591157656025
meagles,0.015106571651707932,0.21491344225790415,0.05912568549666452,0.09283970145958072,0.0,0.15366351779194648,0.07920346048681087,0.028140072808272097,0.05115964659609981,0.02425781051178511
merdle,0.023234179301390632,0.028466543377065633,0.03352679178901533,0.03633699483304747,0.15366351779194648,0.0,0.10786683229137393,0.1719133164228024,0.10185233918089688,0.2095982532502855
amy,0.01917037946644538,0.0366192305468169,0.036417487005816034,0.04784991964518544,0.07920346048681087,0.10786683229137393,0.0,0.068493804378294,0.08812989684832949,0.07498879412053093
little dorrit,0.008168972762738928,0.09920871936604078,0.017559872793301623,0.040212579029620284,0.028140072808272097,0.1719133164228024,0.068493804378294,0.0,0.08365729379730698,0.012492853122049664
flintwinch,0.015898338644933417,0.07443104792355847,0.019495873154633067,0.03946837941521599,0.05115964659609981,0.10185233918089688,0.08812989684832949,0.08365729379730698,0.0,0.0995352119245445
maggy,0.006822524633705683,0.13752763364993448,0.022368469692322587,0.036367591157656025,0.02425781051178511,0.2095982532502855,0.07498879412053093,0.012492853122049664,0.0995352119245445,0.0
