,clennam,dorrit,arthur,pancks,meagles,merdle,amy,little dorrit,flintwinch,maggy
clennam,0.0,0.0759241643425243,0.02776288892601628,0.014330195038355508,0.015486558898035805,0.021856123321563375,0.018490690414767065,0.008024988661776205,0.015625737654263113,0.007065047708152523
dorrit,0.0759241643425243,0.0,0.13923196332937837,0.09947908531179986,0.21175072550428828,0.027096663038943612,0.03636248999817989,0.09789445649636365,0.07261777152605137,0.13713564035930606
arthur,0.02776288892601628,0.13923196332937837,0.0,0.07116402356773491,0.059001645645049734,0.03169884318568122,0.03512633834474346,0.017246501345106267,0.019058977401008245,0.022767237394609702
pancks,0.014330195038355508,0.09947908531179986,0.07116402356773491,0.0,0.09389377218345467,0.03411804090550459,0.046841979079265635,0.04027623585098926,0.039123165310050695,0.037331156805585734
meagles,0.015486558898035805,0.21175072550428828,0.059001645645049734,0.09389377218345467,0.0,0.14689972082615693,0.0760446753697549,0.02797507319217404,0.049546981557212766,0.024619159783338604
merdle,0.021856123321563375,0.027096663038943612,0.03169884318568122,0.03411804090550459,0.14689972082615693,0.0,0.1046194351476682,0.16755766944653194,0.09883846542338875,0.2068920572105192
amy,0.018490690414767065,0.03636248999817989,0.03512633834474346,0.046841979079265635,0.0760446753697549,0.1046194351476682,0.0,0.06686749191027742,0.08498114749291837,0.07495546095122403
little dorrit,0.008024988661776205,0.09789445649636365,0.017246501345106267,0.04027623585098926,0.02797507319217404,0.16755766944653194,0.06686749191027742,0.0,0.08136594715945365,0.012785183345740657
flintwinch,0.015625737654263113,0.07261777152605137,0.019058977401008245,0.039123165310050695,0.049546981557212766,0.09883846542338875,0.08498114749291837,0.08136594715945365,0.0,0.10013540463469872
maggy,0.007065047708152523,0.13713564035930606,0.022767237394609702,0.037331156805585734,0.024619159783338604,0.2068920572105192,0.07495546095122403,0.012785183345740657,0.10013540463469872,0.0
