,clennam,dorrit,arthur,pancks,meagles,merdle,amy,little dorrit,flintwinch,maggy
clennam,0.0,0.08457007036500447,0.029467314778262494,0.01588896521058014,0.014687679122651598,0.024465489281787715,0.01970259665118426,0.008257310518043001,0.01607354408331717,0.006532573763885235
dorrit,0.08457007036500447,0.0,0.14725960145655917,0.10843805720905289,0.21648779947177157,0.029632053120870847,0.0365571629560345,0.09969180877503922,0.07569264686414684,0.13668280032033228
arthur,0.029467314778262494,0.14725960145655917,0.0,0.07588103886534672,0.058874737543188845,0.03512938465058588,0.037423423166239894,0.01772594241774166,0.019771521527695707,0.02178898529922983
pancks,0.01588896521058014,0.10843805720905289,0.07588103886534672,0.0,0.0911429318186515,0.03833798370203892,0.04847166263518772,0.03982747423760036,0.03952068143832884,0.03511454594975701
meagles,0.014687679122651598,0.21648779947177157,0.058874737543188845,0.0911429318186515,0.0,0.15926966662440892,0.08180870966101225,0.02810167716401567,0.052479253039168026,0.023697418155253152
merdle,0.024465489281787715,0.029632053120870847,0.03512938465058588,0.03833798370203892,0.15926966662440892,0.0,0.11024362144019696,0.1748789370351345,0.10411446287921988,0.21047684642836031
amy,0.01970259665118426,0.0365571629560345,0.037423423166239894,0.04847166263518772,0.08180870966101225,0.11024362144019696,0.0,0.0695842475010269,0.09066857251320029,0.07438835408893264
little dorrit,0.008257310518043001,0.09969180877503922,0.01772594241774166,0.03982747423760036,0.02810167716401567,0.1748789370351345,0.0695842475010269,0.0,0.08532780800844872,0.012109091624358328
flintwinch,0.01607354408331717,0.07569264686414684,0.019771521527695707,0.03952068143832884,0.052479253039168026,0.10411446287921988,0.09066857251320029,0.08532780800844872,0.0,0.09814820548124091
maggy,0.006532573763885235,0.13668280032033228,0.02178898529922983,0.03511454594975701,0.023697418155253152,0.21047684642836031,0.07438835408893264,0.012109091624358328,0.09814820548124091,0.0
