,pecksniff,tom,martin,jonas,mark,mrs gamp,john,chuzzlewit,tapley,bailey
pecksniff,0.0,0.15044388474661033,0.0472027997793112,0.010962878884102105,0.015359039553830861,0.026515122933807832,0.010123515599349887,0.0033119778477530303,0.00772848937688464,0.014214111839318208
tom,0.15044388474661033,0.0,0.09377551108845911,0.05131102140181427,0.03006245870845569,0.032257523134286946,0.0007183012506965675,0.010920669168587586,0.014669874183195843,0.0251774329063231
martin,0.0472027997793112,0.09377551108845911,0.0,0.032350393228656564,0.002371974509264934,0.02815538371385866,0.012207198987848479,0.005402498820736891,0.0005156295615511658,0.023812942010772088
jonas,0.010962878884102105,0.05131102140181427,0.032350393228656564,0.0,0.04577438843233079,0.019364169755633456,0.02479643636889157,0.016466900692017807,0.024620433222348886,0.0090094780251823
mark,0.015359039553830861,0.03006245870845569,0.002371974509264934,0.04577438843233079,0.0,0.07644728358076036,0.042760713492140695,0.03476280398168285,0.003888154097433741,0.04673756066386554
mrs gamp,0.026515122933807832,0.032257523134286946,0.02815538371385866,0.019364169755633456,0.07644728358076036,0.0,0.06644253758148415,0.05079798104020974,0.043445136119122596,0.02543853803556383
john,0.010123515599349887,0.0007183012506965675,0.012207198987848479,0.02479643636889157,0.042760713492140695,0.06644253758148415,0.0,0.0511855717002412,0.03707798559549812,0.0974357350906908
chuzzlewit,0.0033119778477530303,0.010920669168587586,0.005402498820736891,0.016466900692017807,0.03476280398168285,0.05079798104020974,0.0511855717002412,0.0,0.04191827859725917,0.07797495257569727
tapley,0.00772848937688464,0.014669874183195843,0.0005156295615511658,0.024620433222348886,0.003888154097433741,0.043445136119122596,0.03707798559549812,0.04191827859725917,0.0,0.12325733495446367
bailey,0.014214111839318208,0.0251774329063231,0.023812942010772088,0.0090094780251823,0.04673756066386554,0.02543853803556383,0.0974357350906908,0.07797495257569727,0.12325733495446367,0.0
