,oliver,bumble,sikes,fagin,brownlow,rose,giles,noah,nancy,bill
oliver,0.0,0.019923272757789795,0.0237080608000893,0.06689495703673044,0.02388870235028678,0.012424028974354106,0.031178312725267096,0.02713522644622073,0.009354021372683383,0.020877914268675926
bumble,0.019923272757789795,0.0,0.08920775635431853,0.1466651179749625,0.10043911648497471,0.04822919829752462,0.05643968893330718,0.04463076067926012,0.047895428247820865,0.0419065292090054
sikes,0.0237080608000893,0.08920775635431853,0.0,0.07412553536609191,0.04737546219234761,0.08273738043745105,0.10289630109003602,0.0648273593126053,0.0021005417880313685,0.0011211300123185333
fagin,0.06689495703673044,0.1466651179749625,0.07412553536609191,0.0,0.0478064881241027,0.07123403555959766,0.12785792273259497,0.03413093045394526,0.007552074879582679,0.0026025588341118525
brownlow,0.02388870235028678,0.10043911648497471,0.04737546219234761,0.0478064881241027,0.0,0.15978477856428533,0.24675949027703425,0.07975371581021928,0.05273908206701434,0.051891558323915205
rose,0.012424028974354106,0.04822919829752462,0.08273738043745105,0.07123403555959766,0.15978477856428533,0.0,0.10227081455920103,0.17933387855077576,0.17485023696305055,0.1405955060394372
giles,0.031178312725267096,0.05643968893330718,0.10289630109003602,0.12785792273259497,0.24675949027703425,0.10227081455920103,0.0,0.2656093395766432,0.18596354690317599,0.16787631782094922
noah,0.02713522644622073,0.04463076067926012,0.0648273593126053,0.03413093045394526,0.07975371581021928,0.17933387855077576,0.2656093395766432,0.0,0.14374370352908714,0.10613208458053651
nancy,0.009354021372683383,0.047895428247820865,0.0021005417880313685,0.007552074879582679,0.05273908206701434,0.17485023696305055,0.18596354690317599,0.14374370352908714,0.0,0.019009894458635802
bill,0.020877914268675926,0.0419065292090054,0.0011211300123185333,0.0026025588341118525,0.051891558323915205,0.1405955060394372,0.16787631782094922,0.10613208458053651,0.019009894458635802,0.0
