,oliver,bumble,sikes,fagin,brownlow,rose,giles,noah,nancy,bill
oliver,0.0,0.019724364421269267,0.022606163803413997,0.06274743420218033,0.022249242129478566,0.01163447830722613,0.029839268623862276,0.025445550017984347,0.008943336515765595,0.019614644411970562
bumble,0.019724364421269267,0.0,0.0891937800773981,0.1413347475213299,0.09606410729103465,0.045256173899682964,0.054041261942918015,0.04254208236224686,0.046849411344821415,0.04015387874004098
sikes,0.022606163803413997,0.0891937800773981,0.0,0.07071501530946357,0.04505767361997619,0.07736477259990743,0.09893693848492822,0.06569015657674711,0.0020548520615801275,0.0010833183231852273
fagin,0.06274743420218033,0.1413347475213299,0.07071501530946357,0.0,0.0459925879309,0.0665729975180034,0.12179273543835922,0.035905043331132445,0.0075349729843618195,0.0025433292868586076
brownlow,0.022249242129478566,0.09606410729103465,0.04505767361997619,0.0459925879309,0.0,0.15143965458467387,0.23685750004941447,0.07986631114139892,0.05220813609915834,0.050652827703566786
rose,0.01163447830722613,0.045256173899682964,0.07736477259990743,0.0665729975180034,0.15143965458467387,0.0,0.09694691352654163,0.17643247928659322,0.170014130707708,0.13511778430926244
giles,0.029839268623862276,0.054041261942918015,0.09893693848492822,0.12179273543835922,0.23685750004941447,0.09694691352654163,0.0,0.2603205296286864,0.18100904146949717,0.16151796690699638
noah,0.025445550017984347,0.04254208236224686,0.06569015657674711,0.035905043331132445,0.07986631114139892,0.17643247928659322,0.2603205296286864,0.0,0.14393052263883066,0.10582709562766787
nancy,0.008943336515765595,0.046849411344821415,0.0020548520615801275,0.0075349729843618195,0.05220813609915834,0.170014130707708,0.18100904146949717,0.14393052263883066,0.0,0.018050268434346983
bill,0.019614644411970562,0.04015387874004098,0.0010833183231852273,0.0025433292868586076,0.050652827703566786,0.13511778430926244,0.16151796690699638,0.10582709562766787,0.018050268434346983,0.0
