,oliver,bumble,sikes,fagin,brownlow,rose,giles,noah,nancy,bill
oliver,0.0,0.019995948166785505,0.024639423697195066,0.07062948504910448,0.025408628862041864,0.013136241861056478,0.03225226768931196,0.028702314073013598,0.009697320988294214,0.02201869993826186
bumble,0.019995948166785505,0.0,0.0885658920092467,0.15089609458932757,0.1041558732511495,0.05089089969955062,0.05836141912712589,0.04648212164591478,0.04853551472593976,0.0433501542459728
sikes,0.024639423697195066,0.0885658920092467,0.0,0.07697387970753002,0.0494011646379601,0.08761949819008796,0.10596678694216927,0.06356244119465884,0.00212933406740905,0.0011507835546250107
fagin,0.07062948504910448,0.15089609458932757,0.07697387970753002,0.0,0.04928559398352278,0.07547234305661076,0.1329150502191093,0.032191215974816494,0.007500059917738041,0.0026401032917356695
brownlow,0.025408628862041864,0.1041558732511495,0.0494011646379601,0.04928559398352278,0.0,0.16704332881847284,0.2547083516080976,0.07914146921277242,0.05281838762087323,0.05269743697991597
rose,0.013136241861056478,0.05089089969955062,0.08761949819008796,0.07547234305661076,0.16704332881847284,0.0,0.10681748312849457,0.18091861749860422,0.17814244465318452,0.1449437835590342
giles,0.03225226768931196,0.05836141912712589,0.10596678694216927,0.1329150502191093,0.2547083516080976,0.10681748312849457,0.0,0.2688605559978538,0.18925968057197792,0.17284928278567285
noah,0.028702314073013598,0.04648212164591478,0.06356244119465884,0.032191215974816494,0.07914146921277242,0.18091861749860422,0.2688605559978538,0.0,0.14249364080629068,0.10563670977962232
nancy,0.009697320988294214,0.04853551472593976,0.00212933406740905,0.007500059917738041,0.05281838762087323,0.17814244465318452,0.18925968057197792,0.14249364080629068,0.0,0.019839973374628426
bill,0.02201869993826186,0.0433501542459728,0.0011507835546250107,0.0026401032917356695,0.05269743697991597,0.1449437835590342,0.17284928278567285,0.10563670977962232,0.019839973374628426,0.0
